name,primaryMuscles,secondaryMuscles,equipment,mechanic,force,movement_pattern,difficulty_level,category,skill_level,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,gifUrl,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets,contraindications,instructions
Around the World – Kettlebell,abdominals,abdominals|shoulders,kettlebell,compound,,other,3,strength,intermediate,5,5,1.0,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Hold the kettlebell in front of your body with arms extended and both hands on the handle. | Move the kettlebell around your body; start by passing it to your right hand and move it behind your back. | Receive the kettlebell with your left hand behind your back, and continue moving it around to the left side and back to the front. | Continue this motion for the desired number of repetitions before switching direction."
Atlas Stone Trainer,lower back,biceps|forearms|glutes|hamstrings|quadriceps,other,compound,pull,hip_hinge,3,strongman,advanced,9,9,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe. | Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips. | Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest. | Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions."
Atlas Stones,lower back,abdominals|adductors|biceps|calves|forearms|glutes|hamstrings|middle back|quadriceps|traps,other,compound,pull,hip_hinge,5,strongman,advanced,9,9,1.0,9,84,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold. | Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground. | As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs. | Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible."
Axle Deadlift,lower back,forearms|glutes|hamstrings|middle back|quadriceps|traps,other,compound,pull,hip_hinge,3,strongman,intermediate,9,9,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip. | With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. | After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. | Lower the bar by bending at the hips and guiding it to the floor."
Back Extension,glutes|hamstrings|lower back,abdominals,body only,isolation,,hip_hinge,3,strength,intermediate,7,9,1.29,9,48,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,disc_herniation|lower_back_injury|sciatica,"Adjust the back extension bench so that the pads at the thigh are snug against your thighs and your feet are securely held in place by the footpads. | Cross your arms over your chest or hold them behind your head. | Keep your back straight and your neck in a neutral position. Hang your body forward over the thigh pads. This is the starting position. | Engage your lower back muscles and slowly lift your upper body off the bench until it aligns with your legs. | Hold this position for up to a few seconds, squeezing your glutes and lower back muscles at the top of the movement. | Slowly lower your upper body back down to the starting position. | Repeat."
Back Flyes - With Bands,shoulders,middle back|triceps,band,isolation,pull,other,2,strength,beginner,1,5,5.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,,"Run a band around a stationary post like that of a squat rack. | Grab the band by the handles and stand back so that the tension in the band rises. | Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position. | As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides. | After a pause, go back to the original position as you inhale. | Repeat for the recommended amount of repetitions."
Backward Drag,quadriceps,calves|forearms|glutes|hamstrings|lower back,other,compound,pull,other,2,strongman,beginner,4,5,1.25,2,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto. | Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible."
Backward Medicine Ball Throw,shoulders,,medicine ball,compound,push,horizontal_pull,2,plyometrics,beginner,6,8,1.33,5,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"This exercise is best done with a partner. If you lack a partner, the ball can be thrown and retrieved or thrown against a wall. | Begin standing a few meters in front of your partner, both facing the same direction. Begin holding the ball between your legs. | Squat down and then forcefully reverse direction, coming to full extension and you toss the ball over your head to your partner. | Your partner can then roll the ball back to you. Repeat for the desired number of repetitions."
Balance Board,calves,hamstrings|quadriceps,other,compound,,other,2,strength,beginner,4,5,1.25,2,24,2,https://static.exercisedb.dev/media/xAySMB0.gif,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,Place a balance board in front of you. | Stand up on it and try to balance yourself. | Hold the balance for as long as desired.
Ball Leg Curl,hamstrings,calves|glutes,exercise ball,isolation,pull,knee_flexion,2,strength,beginner,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,hamstring_strain|knee_injury,"Begin on the floor laying on your back with your feet on top of the ball. | Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position. | Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet. | Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings. | After a brief pause, return to the starting position."
Band Assisted Pull-Up,lats,abdominals|forearms|middle back,band,compound,,vertical_pull,2,strength,beginner,4,8,2.0,0,36,2,https://static.exercisedb.dev/media/r1XNRYB.gif,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,rotator_cuff_tear|shoulder_impingement,"Choke the band around the center of the pullup bar. You can use different bands to provide varying levels of assistance. | Pull the end of the band down, and place one bent knee into the loop, ensuring it won't slip out. Take a medium to wide grip on the bar. This will be your starting position. | Pull yourself upward by contracting the lats as you flex the elbow. The elbow should be driven to your side. Pull to the front, attempting to get your chin over the bar. Avoid swinging or jerking movements. | After a brief pause, return to the starting position."
Band Good Morning,hamstrings,glutes|lower back,band,compound,pull,hip_hinge,2,powerlifting,beginner,8,9,1.12,9,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position. | Keeping your legs straight, extend through the hips to come to a near vertical position. | Ensure that you do not round your back as you go down back to the starting position."
Band Good Morning (Pull Through),hamstrings,glutes|lower back,band,compound,pull,hip_hinge,2,powerlifting,beginner,8,9,1.12,9,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position. | Begin by bending at the hips, getting your butt back as far as possible. Keep your back flat and bend forward to about 90 degrees. Your knees should be only slightly bent. | Return to the starting position be driving through with the hips to come back to a standing position."
