name,targetMuscles,bodyParts,equipments,secondaryMuscles,instructions,movement_pattern,difficulty_level,exercise_type,recommended_rep_min,recommended_rep_max,rest_seconds,unilateral,metabolic_load_score
squat on bosu ball,quads,upper legs,bosu ball,glutes|hamstrings|calves,"Step:1 Place the bosu ball on the ground with the flat side up. Step:2 Stand with your feet shoulder-width apart and position yourself on top of the bosu ball. Step:3 Lower your body down by bending your knees and hips, as if sitting back into a chair. Step:4 Keep your chest up and your weight on your heels. Step:5 Lower yourself until your thighs are parallel to the ground. Step:6 Pause for a moment, then push through your heels to return to the starting position. Step:7 Repeat for the desired number of repetitions.",squat,intermediate,compound,7,11,110,False,5
close-grip push-up,triceps,upper arms,body weight,chest|shoulders,"Step:1 Start in a high plank position with your hands placed close together, directly under your shoulders. Step:2 Engage your core and lower your body towards the ground, keeping your elbows close to your sides. Step:3 Push through your palms to extend your arms and return to the starting position. Step:4 Repeat for the desired number of repetitions.",general,intermediate,compound,8,12,100,False,6
dumbbell one arm shoulder press,delts,shoulders,dumbbell,triceps|upper back,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand at shoulder level, palm facing forward. Step:2 Press the dumbbell upward until your arm is fully extended overhead. Step:3 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:4 Repeat for the desired number of repetitions, then switch to the other arm.",vertical_push,intermediate,compound,6,10,96,False,6
cable standing up straight crossovers,pectorals,chest,cable,deltoids|triceps,"Step:1 Stand in the middle of a cable machine with your feet shoulder-width apart. Step:2 Hold the handles of the cables with your palms facing down and your arms extended straight out to the sides. Step:3 Keeping your arms straight, bring your hands together in front of your body, crossing them over each other. Step:4 Pause for a moment, then slowly return to the starting position, keeping your arms extended. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,6,12,101,False,4
band side triceps extension,triceps,upper arms,band,shoulders,"Step:1 Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. Step:2 Extend your arms straight out to the sides, keeping them parallel to the ground. Step:3 Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. Step:4 Pause for a moment, then slowly extend your arms back out to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,10,12,52,False,7
dumbbell side bend,abs,waist,dumbbell,obliques,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side. Step:2 Keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can. Step:3 Pause for a moment, then slowly return to the starting position. Step:4 Repeat for the desired number of repetitions, then switch sides and repeat.",general,intermediate,compound,7,12,97,False,5
dumbbell single leg squat,glutes,upper legs,dumbbell,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Extend one leg forward and keep it off the ground throughout the exercise. Step:3 Bend your standing leg and lower your body down as if sitting back into a chair. Step:4 Keep your chest up and your back straight. Step:5 Pause for a moment at the bottom, then push through your heel to return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch legs.",squat,intermediate,compound,6,12,91,False,3
sledge hammer,abs,waist,hammer,forearms|shoulders,"Step:1 Stand with your feet shoulder-width apart and hold the sledge hammer with both hands. Step:2 Engage your core and keep your back straight. Step:3 Swing the sledge hammer down towards the ground, using your core and upper body strength. Step:4 As you swing down, pivot your hips and transfer the force to the hammer. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,8,12,94,False,6
barbell full squat (back pov),glutes,upper legs,barbell,quadriceps|hamstrings|calves|core,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you begin to lower your body down. Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. Step:5 Lower your body until your thighs are parallel to the ground or slightly below. Step:6 Keep your knees in line with your toes and your weight in your heels. Step:7 Drive through your heels to stand back up, extending your hips and knees. Step:8 Repeat for the desired number of repetitions.",squat,advanced,compound,6,11,102,False,3
archer pull up,lats,back,body weight,biceps|forearms,"Step:1 Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Step:2 Engage your core and pull your shoulder blades down and back. Step:3 As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. Step:4 Continue pulling until your chin is above the bar and your bent arm is fully flexed. Step:5 Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. Step:6 Alternate sides with each repetition.",vertical_pull,intermediate,compound,8,11,109,False,5
cable one arm tricep pushdown,triceps,upper arms,cable,forearms,"Step:1 Stand facing a cable machine with a straight bar attachment at chest height. Step:2 Grasp the bar with an overhand grip and step back to create tension in the cable. Step:3 Position your feet shoulder-width apart and slightly bend your knees. Step:4 Keep your back straight and core engaged throughout the exercise. Step:5 Start with your arm fully extended and perpendicular to the floor. Step:6 Keeping your upper arm stationary, exhale and push the bar down until your arm is fully extended. Step:7 Pause for a moment, then inhale and slowly return to the starting position. Step:8 Repeat for the desired number of repetitions, then switch arms.",general,intermediate,compound,8,11,94,False,5
assisted wide-grip chest dip (kneeling),pectorals,chest,leverage machine,triceps|shoulders,Step:1 Adjust the machine to your desired height and secure your knees on the pad. Step:2 Grasp the handles with a wide grip and keep your elbows slightly bent. Step:3 Lower your body by bending your elbows until your upper arms are parallel to the floor. Step:4 Push yourself back up to the starting position by extending your arms. Step:5 Repeat for the desired number of repetitions.,general,beginner,compound,6,12,117,False,4
stationary bike run v. 3,cardiovascular system,cardio,stationary bike,quadriceps|hamstrings|calves,Step:1 Adjust the seat height and position to ensure proper alignment. Step:2 Place your feet on the pedals and secure them with the straps if available. Step:3 Start pedaling at a comfortable pace. Step:4 Maintain a steady rhythm and increase the resistance as desired. Step:5 Engage your core muscles to maintain stability and proper posture. Step:6 Continue pedaling for the desired duration of your workout. Step:7 Gradually decrease the resistance and slow down before coming to a complete stop. Step:8 Stretch your legs and cool down after the workout.,cardio,intermediate,compound,8,10,91,False,9
dumbbell seated inner biceps curl,biceps,upper arms,dumbbell,forearms,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. Step:2 Rest your upper arms on your thighs, allowing the dumbbells to hang down. Step:3 Keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,11,13,61,False,6
lever seated hip abduction,abductors,upper legs,leverage machine,glutes|hamstrings,"Step:1 Adjust the seat height so that your knees are at a 90-degree angle. Step:2 Sit on the machine with your back against the backrest and your feet on the footrests. Step:3 Place your hands on the side handles for stability. Step:4 Engage your abductors and slowly push your legs apart, away from the midline of your body. Step:5 Pause for a moment at the end of the movement, then slowly bring your legs back together to the starting position. Step:6 Repeat for the desired number of repetitions.",general,beginner,compound,6,11,99,False,6
chest dip on straight bar,pectorals,chest,body weight,triceps|shoulders,Step:1 Grab the parallel bars with your palms facing down and your arms fully extended. Step:2 Bend your knees and cross your ankles. Step:3 Lower your body by bending your arms until your shoulders are below your elbows. Step:4 Push yourself back up to the starting position by straightening your arms. Step:5 Repeat for the desired number of repetitions.,general,intermediate,compound,7,11,97,False,3
barbell front raise and pullover,pectorals,chest,barbell,deltoids|triceps,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. Step:2 Keep your arms straight and raise the barbell in front of you until it reaches shoulder height. Step:3 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Step:4 Next, lower the barbell behind your head, keeping your arms straight. Step:5 Pause for a moment at the bottom, then raise the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",vertical_pull,advanced,isolation,11,14,47,False,6
dumbbell seated biceps curl to shoulder press,biceps,upper arms,dumbbell,shoulders,"Step:1 Sit on a bench with your back straight and feet flat on the ground. Step:2 Hold a dumbbell in each hand with your palms facing forward and arms fully extended. Step:3 Keeping your elbows close to your sides, curl the dumbbells up towards your shoulders. Step:4 Once your forearms are vertical, rotate your wrists so that your palms are facing forward. Step:5 Press the dumbbells overhead until your arms are fully extended. Step:6 Lower the dumbbells back down to the starting position by reversing the movement. Step:7 Repeat for the desired number of repetitions.",vertical_push,intermediate,isolation,12,12,47,False,3
barbell clean and press,quads,upper legs,barbell,hamstrings|glutes|shoulders|triceps,"Step:1 Stand with your feet shoulder-width apart and the barbell on the floor in front of you. Step:2 Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body. Step:4 As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest. Step:5 As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up. Step:6 From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up. Step:7 Lower the barbell back down to the starting position and repeat for the desired number of repetitions.",vertical_push,advanced,compound,6,11,107,False,4
lever rotary calf,calves,lower legs,leverage machine,soleus|ankle stabilizers,"Step:1 Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate. Step:2 Place your toes on the footplate, with your heels hanging off the edge. Step:3 Grasp the handles or the sides of the machine for stability. Step:4 Push through the balls of your feet, raising your heels as high as possible. Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position. Step:6 Repeat for the desired number of repetitions.",general,beginner,compound,7,12,90,False,7
barbell wrist curl,forearms,lower arms,barbell,biceps|brachialis,"Step:1 Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, holding a barbell with an underhand grip. Step:2 Allow the barbell to roll down to your fingertips, keeping your wrists straight. Step:3 Slowly curl the barbell up towards your forearms by flexing your wrists. Step:4 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,advanced,isolation,10,13,63,False,7
arms apart circular toe touch (male),glutes,upper legs,body weight,hamstrings|quadriceps|calves,"Step:1 Stand with your feet shoulder-width apart and arms extended to the sides. Step:2 Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand. Step:3 As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance. Step:4 Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you. Step:5 Continue alternating sides for the desired number of repetitions.",general,intermediate,compound,6,10,97,False,6
inverted row bent knees,upper back,back,body weight,biceps|forearms,"Step:1 Set up a bar at waist height and lie underneath it. Step:2 Grab the bar with an overhand grip, slightly wider than shoulder-width apart. Step:3 Position your body so that your heels are on the ground and your body is straight. Step:4 Pull your chest up towards the bar by squeezing your shoulder blades together. Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. Step:6 Repeat for the desired number of repetitions.",horizontal_pull,intermediate,compound,6,10,106,False,7
dumbbell hammer curls (with arm blaster),biceps,upper arms,dumbbell,forearms,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your torso. Step:2 Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. Step:3 This will be your starting position. Step:4 Now, while holding your upper arm stationary, exhale and curl the weights while contracting your biceps. Step:5 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Step:6 Hold the contracted position for a brief pause as you squeeze your biceps. Step:7 Then, inhale and slowly begin to lower the dumbbells back to the starting position. Step:8 Repeat for the recommended amount of repetitions.",isolation,intermediate,isolation,12,15,64,False,6
barbell reverse grip incline bench row,upper back,back,barbell,biceps|forearms,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Sit on the bench facing the backrest with your chest against it. Step:3 Grab the barbell with a reverse grip (palms facing down) and hands slightly wider than shoulder-width apart. Step:4 Keep your back straight and core engaged. Step:5 Pull the barbell towards your upper abdomen, squeezing your shoulder blades together. Step:6 Pause for a moment at the top of the movement. Step:7 Slowly lower the barbell back to the starting position. Step:8 Repeat for the desired number of repetitions.",horizontal_push,advanced,compound,7,10,90,False,4
smith narrow row,upper back,back,smith machine,biceps|rear deltoids,"Step:1 Adjust the seat height and position yourself on the machine with your feet flat on the floor. Step:2 Grasp the handles with an overhand grip, slightly narrower than shoulder-width apart. Step:3 Keep your back straight and your chest up as you pull the handles towards your body, squeezing your shoulder blades together. Step:4 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. Step:5 Repeat for the desired number of repetitions.",horizontal_pull,beginner,compound,7,11,96,False,4
assisted prone lying quads stretch,quads,upper legs,assisted,hamstrings|glutes,"Step:1 Lie face down on the ground with your legs extended. Step:2 Bend your left knee and reach back with your left hand to grab your left foot or ankle. Step:3 Gently pull your left foot towards your glutes, feeling a stretch in your left quad. Step:4 Hold the stretch for 20-30 seconds, then release. Step:5 Repeat with your right leg.",general,intermediate,compound,6,10,110,False,7
lever preacher curl v. 2,biceps,upper arms,leverage machine,forearms,"Step:1 Adjust the seat height and position yourself on the machine with your upper arms resting on the pad and your chest against the support. Step:2 Grasp the handles with an underhand grip, slightly wider than shoulder-width apart. Step:3 Keep your upper arms stationary and exhale as you curl the handles towards your shoulders, contracting your biceps. Step:4 Pause for a moment at the top of the movement, squeezing your biceps. Step:5 Inhale as you slowly lower the handles back to the starting position, fully extending your arms. Step:6 Repeat for the desired number of repetitions.",isolation,beginner,isolation,12,15,49,False,6
dumbbell seated one leg calf raise - palm up,calves,lower legs,dumbbell,hamstrings|glutes,"Step:1 Sit on a bench or chair with your back straight and your feet flat on the ground. Step:2 Hold a dumbbell in one hand and place it on top of your thigh, palm facing up. Step:3 Lift one leg off the ground and extend it in front of you, keeping your knee slightly bent. Step:4 Raise your heel as high as possible by pushing through the ball of your foot. Step:5 Pause for a moment at the top, then slowly lower your heel back down. Step:6 Repeat for the desired number of repetitions, then switch legs and repeat.",general,intermediate,isolation,11,13,65,False,7
cable standing shoulder external rotation,delts,shoulders,cable,rotator cuff|trapezius,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. Step:2 Hold the cable handle with your arm extended in front of you, parallel to the ground. Step:3 Keep your elbow slightly bent and your shoulder blades pulled back. Step:4 Slowly rotate your arm outward, away from your body, while keeping your elbow in the same position. Step:5 Pause for a moment at the end of the movement, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,compound,8,11,112,False,6
handstand,triceps,upper arms,body weight,shoulders|core,"Step:1 Find an open space with enough room to perform a handstand. Step:2 Place your hands on the ground shoulder-width apart, fingers pointing forward. Step:3 Kick your legs up towards the wall, using your core and shoulders to maintain balance. Step:4 Once in a handstand position, engage your triceps to support your body weight. Step:5 Hold the handstand for as long as you can maintain balance. Step:6 To come down, slowly lower your legs back to the ground. Step:7 Repeat for the desired number of repetitions.",general,intermediate,compound,6,11,101,False,3
full planche push-up,pectorals,chest,body weight,shoulders|triceps|core,"Step:1 Start in a push-up position with your hands placed slightly wider than shoulder-width apart. Step:2 Engage your core and lower your body down towards the ground, keeping your elbows close to your sides. Step:3 As you lower yourself, lean your body forward and lift your feet off the ground, balancing on your hands. Step:4 Continue to lower your body until your chest is just above the ground. Step:5 Push through your hands and extend your arms to lift your body back up to the starting position. Step:6 Maintain a straight line from your head to your heels throughout the movement. Step:7 Repeat for the desired number of repetitions.",general,intermediate,compound,7,12,110,False,4
dumbbell lying external shoulder rotation,delts,shoulders,dumbbell,rotator cuff|triceps,"Step:1 Lie on your side on a flat bench with your upper arm against your side and your elbow bent 90 degrees. Step:2 Hold a dumbbell in your hand with your palm facing down. Step:3 Keeping your upper arm against your side, slowly rotate your forearm upward as far as possible. Step:4 Pause for a moment at the top, then slowly lower your forearm back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch sides.",general,intermediate,compound,8,12,103,False,7
ez barbell seated triceps extension,triceps,upper arms,ez barbell,shoulders,"Step:1 Sit on a bench with your back straight and feet flat on the ground. Step:2 Hold the ez barbell with an overhand grip, hands shoulder-width apart. Step:3 Raise the barbell overhead, fully extending your arms. Step:4 Keeping your upper arms stationary, lower the barbell behind your head by bending your elbows. Step:5 Pause for a moment, then raise the barbell back to the starting position by extending your arms. Step:6 Repeat for the desired number of repetitions.",isolation,advanced,isolation,10,12,46,False,6
band standing crunch,abs,waist,band,obliques,"Step:1 Attach the band to a sturdy anchor point at waist height. Step:2 Stand facing away from the anchor point with your feet shoulder-width apart. Step:3 Hold the band with both hands and bring it up to your chest, keeping your elbows bent and close to your body. Step:4 Engage your abs and slowly crunch forward, bringing your chest towards your knees. Step:5 Pause for a moment at the top of the crunch, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",core_stability,intermediate,compound,8,10,99,False,7
dumbbell straight leg deadlift,glutes,upper legs,dumbbell,hamstrings|lower back,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. Step:2 Keeping your back straight and your core engaged, hinge at the hips and lower the dumbbells towards the ground, allowing your torso to lean forward. Step:3 Continue lowering the dumbbells until you feel a stretch in your hamstrings, keeping your knees slightly bent. Step:4 Pause for a moment at the bottom, then engage your glutes and hamstrings to lift your torso back up to the starting position. Step:5 Repeat for the desired number of repetitions.",hinge,intermediate,compound,7,10,116,False,6
smith close-grip bench press,triceps,upper arms,smith machine,chest|shoulders,"Step:1 Adjust the seat height and position yourself on the bench with your feet flat on the ground. Step:2 Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Step:3 Lower the barbell towards your chest, keeping your elbows close to your body. Step:4 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,6,12,93,False,7
cable seated crunch,abs,waist,cable,obliques,"Step:1 Sit on a cable machine with your feet flat on the ground and your knees bent. Step:2 Hold the cable handle with both hands and position it behind your head. Step:3 Engage your abs and slowly curl your upper body forward, bringing your chest towards your knees. Step:4 Pause for a moment at the top, then slowly return to the starting position. Step:5 Repeat for the desired number of repetitions.",core_stability,intermediate,compound,6,12,92,False,6
suspended push-up,pectorals,chest,body weight,triceps|shoulders|core,"Step:1 Find a suspension trainer and adjust it to an appropriate height. Step:2 Stand facing away from the anchor point and hold the handles with an overhand grip. Step:3 Walk your feet forward, leaning your body forward until your weight is supported by the suspension trainer. Step:4 Keep your body straight from head to heels, engage your core, and lower your chest towards the handles. Step:5 Push through your chest and arms to return to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,compound,8,10,93,False,4
dumbbell single leg deadlift with stepbox support,glutes,upper legs,dumbbell,hamstrings|lower back,"Step:1 Stand with your feet hip-width apart, holding a dumbbell in your right hand. Step:2 Place your left foot on a stepbox or elevated surface behind you. Step:3 Keeping your back straight and core engaged, hinge forward at the hips, lowering the dumbbell towards the ground. Step:4 As you lower the dumbbell, simultaneously lift your left leg behind you, maintaining a straight line from head to heel. Step:5 Lower the dumbbell until you feel a stretch in your right hamstring, then return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",hinge,intermediate,compound,7,12,104,False,4
cable standing lift,abs,waist,cable,obliques|lower back,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. Step:2 Hold the cable handle with both hands and position it at waist height. Step:3 Engage your core and maintain a straight back throughout the exercise. Step:4 Keeping your arms straight, exhale and lift the cable handle up towards your opposite shoulder, rotating your torso. Step:5 Pause for a moment at the top, then inhale and slowly lower the cable handle back to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",general,intermediate,compound,6,10,96,False,6
dumbbell one arm reverse preacher curl,biceps,upper arms,dumbbell,forearms,"Step:1 Sit on a preacher bench with your chest against the pad and your arm extended over the edge of the bench, holding a dumbbell with an underhand grip. Step:2 Lower the dumbbell slowly until your arm is fully extended. Step:3 Curl the dumbbell back up towards your shoulder, keeping your upper arm stationary. Step:4 Squeeze your biceps at the top of the movement, then slowly lower the dumbbell back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",isolation,intermediate,isolation,10,13,72,False,6
dumbbell peacher hammer curl,biceps,upper arms,dumbbell,forearms,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your torso. Step:2 Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. Step:3 This will be your starting position. Step:4 Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Step:5 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Step:6 Hold the contracted position for a brief pause as you squeeze your biceps. Step:7 Then, inhale and slowly begin to lower the dumbbells back to the starting position. Step:8 Repeat for the recommended amount of repetitions.",isolation,intermediate,isolation,10,12,57,False,6
cable front raise,delts,shoulders,cable,triceps|forearms,"Step:1 Stand with your feet shoulder-width apart and grasp the cable handle with an overhand grip. Step:2 Keep your back straight and your core engaged. Step:3 Raise the cable handle in front of you, keeping your arms straight and your palms facing down. Step:4 Continue lifting until your arms are parallel to the floor. Step:5 Pause for a moment at the top, then slowly lower the cable handle back to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,isolation,10,14,74,False,4
cable lying triceps extension v. 2,triceps,upper arms,cable,shoulders,"Step:1 Attach a rope handle to a low pulley cable machine. Step:2 Lie down on a flat bench facing up, with your head towards the cable machine. Step:3 Grasp the rope handle with both hands, palms facing each other, and extend your arms straight up over your chest. Step:4 Keeping your upper arms stationary, slowly lower the rope handle towards your forehead by bending your elbows. Step:5 Pause for a moment at the bottom, then extend your arms back up to the starting position. Step:6 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,11,15,67,False,5
