exerciseId,name,exerciseType,bodyParts,equipments,targetMuscles,secondaryMuscles,instructions,imageUrl,videoUrl
b9kqlBy,Kettlebell Alternating Renegade Row,STRENGTH,BACK,KETTLEBELL,UPPER BACK,CORE|SHOULDERS,"Step:1 Start in a high plank position with your hands gripping the kettlebells and your feet hip-width apart.|Step:2 Engage your core and keep your body in a straight line from head to heels.|Step:3 Pull one kettlebell up towards your chest, keeping your elbow close to your body.|Step:4 Lower the kettlebell back down to the starting position and repeat with the other arm.|Step:5 Continue alternating arms for the desired number of repetitions.",https://static.exercisedb.dev/media/b9kqlBy.gif,
WrYPP2g,Cable One Arm Straight Back High Row (Kneeling),STRENGTH,BACK,CABLE,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Attach a handle to a cable machine at waist height.|Step:2 Kneel down facing the cable machine and grab the handle with one hand.|Step:3 Keep your back straight and your core engaged.|Step:4 Pull the handle towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top of the movement.|Step:6 Slowly release the handle back to the starting position.|Step:7 Repeat for the desired number of repetitions.|Step:8 Switch sides and repeat the exercise with the other arm.",https://static.exercisedb.dev/media/WrYPP2g.gif,
km0sQC0,Band One Arm Standing Low Row,STRENGTH,BACK,BAND,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Attach the band to a stable anchor point at waist height.|Step:2 Stand facing the anchor point with your feet shoulder-width apart.|Step:3 Hold the band with one hand, palm facing inward, and step back to create tension in the band.|Step:4 Bend your knees slightly and hinge forward at the hips, keeping your back straight.|Step:5 Pull the band towards your waist, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top of the movement, then slowly release the band back to the starting position.|Step:7 Repeat for the desired number of repetitions, then switch sides.",https://static.exercisedb.dev/media/km0sQC0.gif,
Ca76jUE,Kettlebell Alternating Row,STRENGTH,BACK,KETTLEBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a kettlebell in each hand with your palms facing your body.|Step:2 Bend forward at the hips, keeping your back straight and your core engaged.|Step:3 Pull one kettlebell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together.|Step:4 Lower the kettlebell back down to the starting position and repeat with the other arm.|Step:5 Continue alternating arms for the desired number of repetitions.",https://static.exercisedb.dev/media/Ca76jUE.gif,
ZX9UZmj,Smith Bent Over Row,STRENGTH,BACK,SMITH MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up the smith machine with the bar at hip height.|Step:2 Stand facing the bar with your feet shoulder-width apart.|Step:3 Bend your knees slightly and hinge forward at the hips, keeping your back straight.|Step:4 Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart.|Step:5 Pull the bar towards your lower chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top, then slowly lower the bar back down to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/ZX9UZmj.gif,
xbkPfaw,Bodyweight Standing One Arm Row,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in one hand.|Step:2 Bend forward at the hips, keeping your back straight and your core engaged.|Step:3 Let the dumbbell hang straight down in front of you, with your arm fully extended.|Step:4 Pull the dumbbell up towards your chest, keeping your elbow close to your body.|Step:5 Squeeze your shoulder blades together at the top of the movement.|Step:6 Lower the dumbbell back down to the starting position.|Step:7 Repeat for the desired number of repetitions, then switch sides.",https://static.exercisedb.dev/media/xbkPfaw.gif,
bKWbrTA,One Arm Towel Row,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand.|Step:2 Bend forward at the waist, keeping your back straight and your core engaged.|Step:3 Extend your arm fully, allowing the towel to hang in front of you.|Step:4 Pull the towel towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower the towel back to the starting position.|Step:6 Repeat for the desired number of repetitions, then switch arms.",https://static.exercisedb.dev/media/bKWbrTA.gif,
XUUD0Fs,Dumbbell Lying Rear Delt Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,SHOULDERS|BICEPS,"Step:1 Lie face down on a flat bench with a dumbbell in each hand, palms facing inwards.|Step:2 Extend your arms straight down towards the floor, keeping a slight bend in your elbows.|Step:3 Engaging your back muscles, lift the dumbbells up towards your chest, squeezing your shoulder blades together.|Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/XUUD0Fs.gif,
Fhdtwf3,Lever One Arm Bent Over Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with an overhand grip.|Step:2 Bend forward at the hips, keeping your back straight and your head up.|Step:3 Let the barbell hang in front of you with your arms fully extended.|Step:4 Pull the barbell up towards your chest, keeping your elbows close to your body.|Step:5 Squeeze your shoulder blades together at the top of the movement.|Step:6 Lower the barbell back down to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/Fhdtwf3.gif,
PNtsX17,Cable Reverse-Grip Straight Back Seated High Row,STRENGTH,BACK,CABLE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Sit on the seat facing the cable machine with your feet flat on the floor.|Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and your hands shoulder-width apart.|Step:3 Keep your back straight and lean slightly forward from your hips.|Step:4 Pull the cable towards your torso by retracting your shoulder blades and squeezing your back muscles.|Step:5 Pause for a moment at the peak of the contraction, then slowly release the cable back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/PNtsX17.gif,
OmQ8w0p,Cable Palm Rotational Row,STRENGTH,BACK,CABLE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Attach a handle to a cable machine at waist height.|Step:2 Stand facing the machine with your feet shoulder-width apart.|Step:3 Grasp the handle with an overhand grip, palms facing down.|Step:4 Step back to create tension on the cable, keeping your back straight and knees slightly bent.|Step:5 Pull the handle towards your body, rotating your palms to face upwards as you do so.|Step:6 Squeeze your shoulder blades together at the end of the movement.|Step:7 Slowly release the handle back to the starting position.|Step:8 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/OmQ8w0p.gif,
7vG5o25,Dumbbell Incline Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Grab a dumbbell in each hand and sit on the bench with your chest against the incline.|Step:3 Extend your arms fully, allowing the dumbbells to hang straight down from your shoulders.|Step:4 Pull the dumbbells up towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower the dumbbells back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/7vG5o25.gif,
hvV79Si,Cable Low Seated Row,STRENGTH,BACK,CABLE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Sit on the machine with your feet flat on the footrests and your knees slightly bent.|Step:2 Grasp the handles with an overhand grip, palms facing down.|Step:3 Keep your back straight and lean slightly forward, maintaining a slight bend in your elbows.|Step:4 Pull the handles towards your body, squeezing your shoulder blades together.|Step:5 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/hvV79Si.gif,
wf24o8S,Kettlebell Two Arm Row,STRENGTH,BACK,KETTLEBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a kettlebell in each hand with your palms facing your body.|Step:2 Bend forward at the hips, keeping your back straight and your core engaged.|Step:3 Pull the kettlebells up towards your chest, squeezing your shoulder blades together.|Step:4 Pause for a moment at the top, then slowly lower the kettlebells back down to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/wf24o8S.gif,
BReCuOn,Bodyweight Squatting Row (With Towel),STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Stand with your feet shoulder-width apart, holding a towel in front of you with your palms facing down.|Step:2 Bend your knees and lower your body into a squat position, keeping your back straight and your chest up.|Step:3 As you lower into the squat, simultaneously pull the towel towards your chest, squeezing your shoulder blades together.|Step:4 Pause for a moment at the bottom of the squat, then slowly return to the starting position while extending your arms.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/BReCuOn.gif,
oROuvrX,Lever Unilateral Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and position yourself facing the machine.|Step:2 Grasp the handles with an overhand grip and keep your back straight.|Step:3 Pull the handles towards your body, squeezing your shoulder blades together.|Step:4 Pause for a moment at the peak of the movement, then slowly release and extend your arms back to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/oROuvrX.gif,
bZGHsAZ,Inverted Row,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up a bar at waist height or use a suspension trainer.|Step:2 Stand facing the bar or suspension trainer, with your feet shoulder-width apart.|Step:3 Grab the bar or handles with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Lean back, keeping your body straight and your heels on the ground.|Step:5 Pull your chest towards the bar or handles, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top, then slowly lower yourself back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/bZGHsAZ.gif,
uTv34oq,Bodyweight Standing Row (With Towel),STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Stand with your feet shoulder-width apart and hold a towel in front of you with both hands.|Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight.|Step:3 Pull the towel towards your chest, squeezing your shoulder blades together.|Step:4 Pause for a moment at the top, then slowly release the tension and return to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/uTv34oq.gif,
X6ytgYZ,Dumbbell Side Plank With Rear Fly,STRENGTH,BACK,DUMBBELL,UPPER BACK,SHOULDERS|CORE,"Step:1 Start by lying on your side with your legs extended and stacked on top of each other.|Step:2 Place your forearm on the ground directly below your shoulder, keeping your elbow bent at a 90-degree angle.|Step:3 Hold a dumbbell in your top hand, with your arm extended straight down towards the ground.|Step:4 Engage your core and lift your hips off the ground, creating a straight line from your head to your heels.|Step:5 While maintaining the side plank position, lift the dumbbell up towards the ceiling, squeezing your shoulder blades together.|Step:6 Lower the dumbbell back down to the starting position.|Step:7 Repeat for the desired number of repetitions, then switch sides.",https://static.exercisedb.dev/media/X6ytgYZ.gif,
G70mEAJ,Chin-Ups (Narrow Parallel Grip),STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Hang from a pull-up bar with a narrow parallel grip, palms facing towards you.|Step:2 Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body.|Step:3 Continue pulling until your chin is above the bar.|Step:4 Pause for a moment at the top, then slowly lower your body back down to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/G70mEAJ.gif,
FVM1AUZ,Lever T-Bar Reverse Grip Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and position yourself on the machine with your chest against the pad and your feet flat on the floor.|Step:2 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.|Step:3 Keep your back straight and engage your core.|Step:4 Pull the handles towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/FVM1AUZ.gif,
JF8AkMX,Standing Archer,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,SHOULDERS|BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent.|Step:2 Extend your arms straight out in front of you at shoulder height, parallel to the ground.|Step:3 Rotate your torso to the right, keeping your arms extended and your back straight.|Step:4 As you rotate, extend your right arm forward and your left arm back, mimicking the motion of drawing a bowstring.|Step:5 Hold the position for a moment, then return to the starting position.|Step:6 Repeat the motion, this time rotating your torso to the left and extending your left arm forward and your right arm back.|Step:7 Continue alternating sides for the desired number of repetitions.",https://static.exercisedb.dev/media/JF8AkMX.gif,
BJ0Hz5L,Dumbbell Bent Over Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in each hand with your palms facing your body.|Step:2 Bend forward at the hips, keeping your back straight and your core engaged.|Step:3 Let your arms hang straight down towards the floor, with your elbows slightly bent.|Step:4 Pull the dumbbells up towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/BJ0Hz5L.gif,
SzX3uzM,Barbell Reverse Grip Bent Over Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent.|Step:2 Hold a barbell with an overhand grip, palms facing down, and hands slightly wider than shoulder-width apart.|Step:3 Bend forward at the hips, keeping your back straight and chest up, until your torso is almost parallel to the floor.|Step:4 Pull the barbell towards your lower chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower the barbell back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/SzX3uzM.gif,
9pQSkH8,Dumbbell Reverse Grip Incline Bench Two Arm Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Sit on the bench with your chest against the backrest and your feet flat on the ground.|Step:3 Hold a dumbbell in each hand with an underhand grip.|Step:4 Lean forward and let your arms hang straight down, fully extended.|Step:5 Pull the dumbbells up towards your chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/9pQSkH8.gif,
R5swFnc,Cambered Bar Lying Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up a barbell on the floor and lie face down on a bench with your chest just off the edge.|Step:2 Reach down and grab the barbell with an overhand grip, slightly wider than shoulder-width apart.|Step:3 With your legs straight and feet on the ground, lift the barbell off the floor by extending your arms.|Step:4 Pull the barbell towards your chest, squeezing your shoulder blades together.|Step:5 Lower the barbell back down to the starting position and repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/R5swFnc.gif,
wd4ds3s,Bodyweight Standing Row,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent.|Step:2 Grasp a bar or handles with an overhand grip, palms facing down.|Step:3 Keep your back straight and core engaged.|Step:4 Pull the bar or handles towards your body, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top of the movement.|Step:6 Slowly release and extend your arms back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/wd4ds3s.gif,
eZyBC3j,Barbell Bent Over Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent.|Step:2 Bend forward at the hips while keeping your back straight and chest up.|Step:3 Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.|Step:4 Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles.|Step:5 Pause for a moment at the top, then slowly lower the barbell back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/eZyBC3j.gif,
JOZhu2h,Cable Standing Twist Row (V-Bar),STRENGTH,BACK,CABLE,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Attach a v-bar attachment to a cable machine at chest height.|Step:2 Stand facing the cable machine with your feet shoulder-width apart.|Step:3 Grasp the v-bar with an overhand grip, palms facing down.|Step:4 Take a step back to create tension in the cable.|Step:5 Keep your back straight and core engaged throughout the exercise.|Step:6 Pull the v-bar towards your torso by retracting your shoulder blades and bending your elbows.|Step:7 As you pull, twist your torso to one side, squeezing your shoulder blades together.|Step:8 Pause for a moment at the top of the movement, feeling the contraction in your upper back.|Step:9 Slowly release the tension and return to the starting position, untwisting your torso.|Step:10 Repeat the movement for the desired number of repetitions, alternating the twisting direction with each rep.",https://static.exercisedb.dev/media/JOZhu2h.gif,
3xK09Sk,Bodyweight Squatting Row,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|SHOULDERS,"Step:1 Stand with your feet shoulder-width apart, holding onto a sturdy object or suspension trainer with your arms extended.|Step:2 Lower your body into a squat position, keeping your back straight and your knees behind your toes.|Step:3 From the squat position, pull your body up towards the object or suspension trainer, squeezing your shoulder blades together.|Step:4 Pause for a moment at the top, then slowly lower your body back down to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/3xK09Sk.gif,
aaxA3cm,Smith Reverse Grip Bent Over Row,STRENGTH,BACK,SMITH MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up the smith machine with the bar at hip height.|Step:2 Stand facing the bar with your feet shoulder-width apart.|Step:3 Bend your knees slightly and hinge forward at the hips, keeping your back straight.|Step:4 Grasp the bar with an underhand grip, hands shoulder-width apart.|Step:5 Pull the bar towards your lower chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top, then slowly lower the bar back down to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/aaxA3cm.gif,
Q4DSJPC,Smith One Arm Row,STRENGTH,BACK,SMITH MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the height of the smith machine bar to waist level.|Step:2 Stand facing the smith machine with your feet shoulder-width apart.|Step:3 Bend your knees slightly and hinge forward at the hips, keeping your back straight.|Step:4 Grasp the bar with one hand using an overhand grip, with your palm facing down.|Step:5 Keep your elbow close to your body and pull the bar towards your waist, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top of the movement, then slowly lower the bar back to the starting position.|Step:7 Repeat for the desired number of repetitions, then switch to the other arm.",https://static.exercisedb.dev/media/Q4DSJPC.gif,
uX3sUBz,Inverted Row V. 2,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up a bar at waist height on a Smith machine or use a suspension trainer.|Step:2 Stand facing the bar or suspension trainer and grab it with an overhand grip, hands shoulder-width apart.|Step:3 Walk your feet forward, leaning back until your body is at a slight angle.|Step:4 Keep your body straight and pull your chest up towards the bar or handles, squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower yourself back down to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/uX3sUBz.gif,
aaXr7ld,Lever T Bar Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and footplate position to ensure proper alignment.|Step:2 Sit on the machine with your chest against the pad and your feet flat on the footplate.|Step:3 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Keep your back straight and engage your core.|Step:5 Pull the handles towards your torso, squeezing your shoulder blades together.|Step:6 Pause for a moment at the peak contraction, then slowly release the handles back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/aaXr7ld.gif,
wt6rwjk,Dumbbell Palm Rotational Bent Over Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip.|Step:2 Bend forward at the hips, keeping your back straight and your knees slightly bent.|Step:3 Let your arms hang straight down, palms facing your body.|Step:4 Engage your core and pull the dumbbells up towards your chest, keeping your elbows close to your body.|Step:5 As you pull the dumbbells up, rotate your palms so they face away from your body.|Step:6 Squeeze your shoulder blades together at the top of the movement.|Step:7 Slowly lower the dumbbells back down to the starting position, rotating your palms back to the starting position.|Step:8 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/wt6rwjk.gif,
BgljGjd,Lever Reverse T-Bar Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and footplate position on the leverage machine.|Step:2 Sit on the machine with your chest against the pad and your feet flat on the footplate.|Step:3 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Keep your back straight and engage your core.|Step:5 Pull the handles towards your chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/BgljGjd.gif,
nZZZy9m,Lever High Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|REAR DELTOIDS,"Step:1 Adjust the seat height and foot platform to a comfortable position.|Step:2 Sit on the machine with your chest against the pad and your feet flat on the foot platform.|Step:3 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Keep your back straight and engage your core.|Step:5 Pull the handles towards your body, squeezing your shoulder blades together.|Step:6 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/nZZZy9m.gif,
