exercise_id,name,name_key,equipment,mechanic,movement_pattern,category,skill_level,difficulty_level,primaryMuscles,secondaryMuscles,contraindications,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets
71ce86b2cfe1088c,Alternating Arnold Press – Dumbbell,alternating arnold press,dumbbell,compound,vertical_push,strength,intermediate,3,shoulders,biceps|shoulders|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,7,8,1.14,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
efbc5b6dc9961e2f,Alternating Cable Shoulder Press,alternating shoulder press,cable,compound,vertical_push,strength,beginner,2,shoulders,triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,5,7,1.4,5,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
90bc55cc1f1abbdb,Alternating Deltoid Raise,alternating deltoid raise,dumbbell,isolation,shoulder_raise,strength,beginner,2,shoulders,,rotator_cuff_tear|shoulder_impingement,2,6,3,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
f16913fdd42d9f72,Alternating Floor Press,alternating floor press,kettlebell,compound,horizontal_push,strength,beginner,2,chest,abdominals|shoulders|triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,7,8,1.14,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
9ee5f7779d28d133,Alternating Hang Clean,alternating hang clean,kettlebell,compound,hip_hinge,strength,advanced,3,hamstrings,biceps|calves|forearms|glutes|lower_back|traps,disc_herniation|lower_back_injury|sciatica,10,9,0.9,9,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
af9647d7adb25c54,Alternating Kettlebell Press,alternating press,kettlebell,compound,vertical_push,strength,intermediate,3,shoulders,triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,7,7,1,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
4868c8788832ea5f,Alternating Kettlebell Row,alternating row,kettlebell,compound,horizontal_pull,strength,intermediate,3,middle_back,biceps|lats,bicep_tendinitis|lower_back_injury,7,8,1.14,5,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
13339f538f9676a6,Alternating Renegade Row,alternating renegade row,kettlebell,compound,horizontal_pull,strength,advanced,5,middle_back,abdominals|biceps|chest|lats|triceps,bicep_tendinitis|lower_back_injury,7,8,1.14,5,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
a58aac4ae0864bc9,Alternating Rope Wave,alternating wave,body only,compound,other,strength,intermediate,3,biceps|forearms|shoulders|traps,abdominals|chest|triceps,,4,5,1.25,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
eb939fb1778c1fbc,Alternating Side Lunge Pull – Plate,alternating side lunge pull,body only,compound,lunge,strength,intermediate,3,glutes|quadriceps|adductors,abdominals|calves|lower_back|abductors,ankle_injury|hip_impingement|knee_injury,7,7,1,5,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
6975f50f8399c8c3,Alternating Single-Arm Dead Clean to Push Press – Kettlebell,alternating single arm dead clean to push press,kettlebell,compound,vertical_push,strength,intermediate,3,glutes|quadriceps|shoulders,calves|hamstrings|lower_back|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,8,7,0.88,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
285a10674fe6dcd9,Alternating Tall Kneeling Arnold Press – Hand Weights,alternating tall kneeling arnold press hand weights,dumbbell,compound,vertical_push,strength,intermediate,3,shoulders,abdominals|biceps|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,7,8,1.14,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
2db7ff208ab2e6c5,Alternating Z Press – Double Kettlebell,alternating z press double,kettlebell,compound,vertical_push,strength,intermediate,3,shoulders,abdominals|lower_back|shoulders|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,7,7,1,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
f18dae28b420df20,Anti-Gravity Press,anti gravity press,barbell,compound,vertical_push,strength,beginner,2,shoulders,middle_back|traps|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,8,8,1,7,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
22b4feb1d99c455c,Archer Push Up – Rings,archer push up rings,body only,compound,horizontal_push,strength,intermediate,3,chest|triceps,abdominals|shoulders|traps,pec_tear|rotator_cuff_tear|shoulder_impingement,6,8,1.33,2,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
4bfd9ee064d682f3,Arnold Dumbbell Press,arnold press,dumbbell,compound,vertical_push,strength,intermediate,3,shoulders,triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,7,8,1.14,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
4bfd9ee064d682f3,Arnold Press,arnold press,dumbbell,compound,vertical_push,strength,intermediate,3,shoulders,,neck_injury|rotator_cuff_tear|shoulder_impingement,7,8,1.14,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7f4e975ff248b9f9,Around The Worlds,around the worlds,dumbbell,compound,horizontal_push,strength,intermediate,3,chest,shoulders,pec_tear|rotator_cuff_tear|shoulder_impingement,7,9,1.29,2,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
b62e27eb4d5233d1,Around the World – Kettlebell,around the world,kettlebell,compound,other,strength,intermediate,3,abdominals,abdominals|shoulders,,5,5,1,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
aa73e3121221002d,Atlas Stone Trainer,atlas stone trainer,other,compound,hip_hinge,strongman,advanced,3,lower_back,biceps|forearms|glutes|hamstrings|quadriceps,disc_herniation|lower_back_injury|sciatica,9,9,1,9,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
fae8c8603f7e4037,Atlas Stones,atlas stones,other,compound,hip_hinge,strongman,advanced,5,lower_back,abdominals|adductors|biceps|calves|forearms|glutes|hamstrings|middle_back|quadriceps|traps,disc_herniation|lower_back_injury|sciatica,9,9,1,9,84,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
a5fa527c8717296e,Axle Deadlift,axle deadlift,other,compound,hip_hinge,strongman,intermediate,3,lower_back,forearms|glutes|hamstrings|middle_back|quadriceps|traps,disc_herniation|lower_back_injury|sciatica,9,9,1,9,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
690478bc3341fa2a,Back Extension,back extension,body only,isolation,hip_hinge,strength,intermediate,3,glutes|hamstrings|lower_back,abdominals,disc_herniation|lower_back_injury|sciatica,7,9,1.29,9,48,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
51226cdc5febcbd4,Back Flyes - With Bands,back flyes with bands,band,isolation,other,strength,beginner,2,shoulders,middle_back|triceps,,1,5,5,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
7cc9711b88082388,Backward Drag,backward drag,other,compound,other,strongman,beginner,2,quadriceps,calves|forearms|glutes|hamstrings|lower_back,,4,5,1.25,2,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
5e94e92b2a048adc,Backward Medicine Ball Throw,backward medicine ball throw,medicine ball,compound,horizontal_pull,plyometrics,beginner,2,shoulders,,bicep_tendinitis|lower_back_injury,6,8,1.33,5,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
16bcac50f7f16f2a,Balance Board,balance board,other,compound,other,strength,beginner,2,calves,hamstrings|quadriceps,,4,5,1.25,2,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
6f5cc01362de196c,Ball Leg Curl,ball leg curl,exercise ball,isolation,knee_flexion,strength,beginner,2,hamstrings,calves|glutes,hamstring_strain|knee_injury,2,6,3,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
e6fb247d45df8b5c,Band Assisted Pull-Up,assisted pull up,band,compound,vertical_pull,strength,beginner,2,lats,abdominals|forearms|middle_back,rotator_cuff_tear|shoulder_impingement,4,8,2,0,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7f74d5cf032aede2,Band Good Morning,good morning,band,compound,hip_hinge,powerlifting,beginner,2,hamstrings,glutes|lower_back,disc_herniation|lower_back_injury|sciatica,8,9,1.12,9,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7f74d5cf032aede2,Band Good Morning (Pull Through),good morning,band,compound,hip_hinge,powerlifting,beginner,2,hamstrings,glutes|lower_back,disc_herniation|lower_back_injury|sciatica,8,9,1.12,9,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
a2164e94d5c47978,Band Hip Adductions,hip adductions,band,isolation,other,strength,beginner,2,adductors,,,1,5,5,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
a4ed62256e932237,Band Pull Apart,pull apart,band,isolation,other,strength,beginner,2,shoulders,middle_back|traps,,1,5,5,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
64cd17c59542987e,Band Skull Crusher,skull crusher,band,isolation,elbow_extension,strength,beginner,2,triceps,,elbow_tendinitis|tennis_elbow|tricep_tendinitis,1,6,6,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
2bade8fb7a209a76,Bar Hang,bar hang,body only,compound,other,strength,intermediate,3,forearms,,,4,5,1.25,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
093a30fbca4257f9,Barbell Ab Rollout,ab rollout,barbell,compound,core_flexion,strength,intermediate,3,abdominals,lower_back|shoulders,diastasis_recti|disc_herniation|lower_back_injury,5,6,1.2,2,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
550b731e779ca2ba,Barbell Ab Rollout - On Knees,ab rollout on knees,barbell,compound,core_flexion,strength,advanced,5,abdominals,lower_back|shoulders,diastasis_recti|disc_herniation|lower_back_injury,5,6,1.2,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
1d8c4136a8953aa3,Barbell Bench Press - Medium Grip,bench press medium grip,barbell,compound,horizontal_push,strength,beginner,2,chest,shoulders|triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,3,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
588d43a6e5cd11e4,Barbell Curl,curl,barbell,isolation,elbow_flexion,strength,beginner,2,biceps,forearms,bicep_tendinitis|elbow_tendinitis|golfers_elbow,3,6,2,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
8c3c94fc5529f5eb,Barbell Curls Lying Against An Incline,curls lying against an incline,barbell,isolation,elbow_flexion,strength,beginner,2,biceps,,bicep_tendinitis|elbow_tendinitis|golfers_elbow,3,6,2,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
9df2620b51ae5ae9,Barbell Deadlift,deadlift,barbell,compound,hip_hinge,strength,intermediate,3,lower_back,calves|forearms|glutes|hamstrings|lats|middle_back|quadriceps|traps,disc_herniation|lower_back_injury|sciatica,10,10,1,10,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
87b2ec9c4e78eaa2,Barbell Full Squat,full squat,barbell,compound,squat,strength,intermediate,3,quadriceps,calves|glutes|hamstrings|lower_back,hip_impingement|knee_injury|lower_back_injury,10,10,1,9,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
e11424253fc24427,Barbell Glute Bridge,glute bridge,barbell,compound,hip_hinge,powerlifting,intermediate,3,glutes,calves|hamstrings,disc_herniation|lower_back_injury|sciatica,10,10,1,10,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
8cbf645e842e8f07,Barbell Guillotine Bench Press,guillotine bench press,barbell,compound,horizontal_push,strength,intermediate,3,chest,shoulders|triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,3,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
2a8c124ea8d7ca47,Barbell Hack Squat,hack squat,barbell,compound,squat,strength,intermediate,3,quadriceps,calves|forearms|hamstrings,hip_impingement|knee_injury|lower_back_injury,10,10,1,9,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
11fd99ec0ab33e64,Barbell Hip Thrust,hip thrust,barbell,compound,hip_hinge,powerlifting,intermediate,3,glutes,calves|hamstrings,disc_herniation|lower_back_injury|sciatica,10,10,1,10,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
75073d88a0dc1177,Barbell Incline Bench Press - Medium Grip,incline bench press medium grip,barbell,compound,horizontal_push,strength,beginner,2,chest,shoulders|triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,1,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
dc036dbf8b2ae12d,Barbell Incline Shoulder Raise,incline shoulder raise,barbell,isolation,shoulder_raise,strength,beginner,2,shoulders,chest,rotator_cuff_tear|shoulder_impingement,3,6,2,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
9b8f263dd4509656,Barbell Lunge,lunge,barbell,compound,lunge,strength,intermediate,3,quadriceps,calves|glutes|hamstrings,ankle_injury|hip_impingement|knee_injury,9,8,0.89,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
00b07d7d7d1db8fc,Barbell Rear Delt Row,rear delt row,barbell,isolation,horizontal_pull,strength,beginner,2,shoulders,biceps|lats|middle_back,bicep_tendinitis|lower_back_injury,6,8,1.33,6,36,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
f8bf16da763cff34,Barbell Rollout from Bench,rollout from bench,barbell,compound,core_flexion,strength,intermediate,3,abdominals,glutes|hamstrings|lats|shoulders,diastasis_recti|disc_herniation|lower_back_injury,5,6,1.2,2,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
26a1d0238153e9f6,Barbell Seated Calf Raise,seated calf raise,barbell,isolation,calf,strength,beginner,2,calves,,achilles_tendinitis|ankle_injury|plantar_fasciitis,3,5,1.67,2,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
ce89d2179ca2e16b,Barbell Shoulder Press,shoulder press,barbell,compound,vertical_push,strength,intermediate,3,shoulders,chest|triceps,neck_injury|rotator_cuff_tear|shoulder_impingement,8,8,1,7,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
1450faffb4421c94,Barbell Shrug,shrug,barbell,isolation,shoulder_raise,strength,beginner,2,traps,,rotator_cuff_tear|shoulder_impingement,3,6,2,2,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
3642190402ca26a7,Barbell Shrug Behind The Back,shrug behind the back,barbell,isolation,shoulder_raise,strength,beginner,2,traps,forearms|middle_back,rotator_cuff_tear|shoulder_impingement,3,6,2,2,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
a47504fa3bb98758,Barbell Side Bend,side bend,barbell,isolation,core_flexion,strength,beginner,2,abdominals,lower_back,diastasis_recti|disc_herniation|lower_back_injury,3,5,1.67,2,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
c6144f3a925edec4,Barbell Side Split Squat,side split squat,barbell,compound,squat,strength,beginner,2,quadriceps,calves|hamstrings|lower_back,hip_impingement|knee_injury|lower_back_injury,10,10,1,9,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7027044a7264e7e0,Barbell Squat,squat,barbell,compound,squat,strength,beginner,2,quadriceps,calves|glutes|hamstrings|lower_back,hip_impingement|knee_injury|lower_back_injury,10,10,1,9,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
54eed950f01733e6,Barbell Squat To A Bench,squat to a bench,barbell,compound,squat,strength,advanced,5,quadriceps,calves|glutes|hamstrings|lower_back,hip_impingement|knee_injury|lower_back_injury,10,10,1,9,84,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
35b3448a262db85b,Barbell Step Ups,step ups,barbell,compound,lunge,strength,intermediate,3,quadriceps,calves|glutes|hamstrings|quadriceps,ankle_injury|hip_impingement|knee_injury,9,8,0.89,6,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7b15eb5251517874,Barbell Walking Lunge,walking lunge,barbell,compound,lunge,strength,beginner,2,quadriceps,calves|glutes|hamstrings,ankle_injury|hip_impingement|knee_injury,9,8,0.89,6,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
d311d0cd94d50fea,Battling Ropes,battling ropes,other,compound,vertical_push,strength,beginner,2,shoulders,chest|forearms,neck_injury|rotator_cuff_tear|shoulder_impingement,6,7,1.17,6,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
41b5e46acc93604c,Bear Crawl Sled Drags,bear crawl sled drags,other,compound,squat,strongman,beginner,2,quadriceps,calves|glutes|hamstrings,hip_impingement|knee_injury|lower_back_injury,8,9,1.12,8,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
e74f78c4edc890c8,Behind the Neck Press – Barbell,behind the neck press,barbell,compound,other,strength,intermediate,3,shoulders,traps|triceps,cervical_disc|rotator_cuff_tear|shoulder_impingement,6,6,1,3,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
4a4a04560d1aca7d,Bench Dips,bench dips,body only,compound,horizontal_push,strength,beginner,2,triceps,chest|shoulders,pec_tear|rotator_cuff_tear|shoulder_impingement,6,8,1.33,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
7f12cc749546d77e,Bench Jump,bench jump,body only,compound,squat,plyometrics,intermediate,3,quadriceps,calves|glutes|hamstrings,hip_impingement|knee_injury|lower_back_injury,8,9,1.12,8,72,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
197ffefd9fd21ae3,Bench Press - Powerlifting,bench press powerlifting,barbell,compound,horizontal_push,powerlifting,intermediate,3,triceps,chest|forearms|lats|shoulders,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,3,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
d353bcc7a93b2c1b,Bench Press - With Bands,bench press with bands,band,compound,horizontal_push,strength,beginner,2,chest,shoulders|triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,5,8,1.6,1,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
ebfb450366aed3c5,Bench Press with Chains,bench press with chains,barbell,compound,horizontal_push,powerlifting,advanced,5,triceps,chest|lats|shoulders,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,3,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
d268b0745ef1f9ae,Bench Press – Barbell,bench press,barbell,compound,horizontal_push,strength,intermediate,3,chest|shoulders,triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,8,9,1.12,3,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
53f1fb8e9c56e180,Bench Press – Dumbbell,bench press,dumbbell,compound,horizontal_push,strength,intermediate,3,chest|shoulders,triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,7,9,1.29,2,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
00ba07e48a8257bf,Bench Press – Machine,bench press,machine,compound,horizontal_push,strength,beginner,3,chest|shoulders|triceps,shoulders,pec_tear|rotator_cuff_tear|shoulder_impingement,4,8,2,0,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
00ba07e48a8257bf,Bench Press – Smith Machine,bench press,machine,compound,horizontal_push,strength,beginner,3,chest|shoulders,triceps,pec_tear|rotator_cuff_tear|shoulder_impingement,4,8,2,0,48,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
5ca39a3477409c86,Bench Sprint,bench sprint,other,compound,squat,plyometrics,beginner,2,quadriceps,calves|glutes|hamstrings,hip_impingement|knee_injury|lower_back_injury,8,9,1.12,8,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
09761fad23512c0d,Bent Over Barbell Row,bent over row,barbell,compound,horizontal_pull,strength,beginner,2,middle_back,biceps|lats|shoulders,bicep_tendinitis|disc_herniation|lower_back_injury,8,9,1.12,6,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
9c196cd62d68703f,Bent Over Dumbbell Rear Delt Raise With Head On Bench,bent over rear delt raise with head on bench,dumbbell,isolation,horizontal_pull,strength,beginner,2,shoulders,,bicep_tendinitis|lower_back_injury,5,8,1.6,5,36,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
56ab9c3e04c577f4,Bent Over Low-Pulley Side Lateral,bent over low side lateral,cable,isolation,horizontal_pull,strength,beginner,2,shoulders,lower_back|middle_back|traps,bicep_tendinitis|lower_back_injury,3,9,3,4,36,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
