sample_id,type,user_message,model_output
26,regular,"Generate a 5-day weightloss workout plan
[Context] Level: Advanced | Goal: WeightLoss | Days: 5 | Body fat: 20.3% (normal) | Muscle mass: 31.1kg (average) | Feedback: normal difficulty, rating 4.5, 10 sessions done | Equipment: cable,kettlebells,other,body only","PLAN:5d Bro Split|WeightLoss|Advanced|10w
FB:normal pref,rating 4.5,10 sessions
---
D1:Chest[chest,triceps]60min
1.Heavy Bag Thrust|3x12-20|45s|C|RPE8|other
2.Handstand Push-Ups|3x12-20|45s|C|RPE8|body only
3.Cable Incline Triceps Extension|3x15-25|30s|I|RPE8|cable
4.Kneeling Incline Push-Up|3x12-20|45s|C|RPE9|body only
5.Push-Up – Feet in Rings|3x12-20|45s|C|RPE7|body only
---
D2:Back[lats,middle back,biceps]42min
1.Rear Delt Row – Cable|3x15-25|30s|I|RPE7|cable
2.Two-Arm Kettlebell Row|3x12-20|45s|C|RPE10|kettlebells
3.Wide-Grip Lat Pulldown|3x12-20|45s|C|RPE8|cable
4.One Arm Chin-Up|3x12-20|45s|C|RPE7|other
5.High Cable Curls|3x15-25|30s|I|RPE7|cable
6.Chin-Up|3x12-20|45s|C|RPE10|body only
---
D3:Shoulders[shoulders,abdominals]57min
1.Kettlebell Pirate Ships|3x12-20|45s|C|RPE7|kettlebells
2.Kettlebell Seated Press|3x12-20|45s|C|RPE10|kettlebells
3.Sled Reverse Flye|3x15-25|30s|I|RPE8|other
4.Jackknife Sit-Up|3x12-20|45s|C|RPE8|body only
5.Plate Front Raise|3x15-25|30s|I|RPE7|body only
6.Air Bike|3x12-20|45s|C|RPE10|body only
---
D4:Legs[quadriceps,hamstrings,glutes,calves]68min
1.Prisoner Squat – Bodyweight|3x12-20|45s|C|RPE9|body only
2.Single-Leg Hop Progression|3x12-20|45s|C|RPE7|other
3.Open Palm Kettlebell Clean|3x12-20|45s|C|RPE10|kettlebells
4.Alternating Hang Clean|3x12-20|45s|C|RPE10|kettlebells
5.Kettlebell Turkish Get-Up (Lunge style)|3x12-20|45s|C|RPE8|kettlebells
6.Step-Up|3x12-20|45s|C|RPE7|body only
---
D5:Arms[biceps,triceps,forearms]56min
1.Lying Close-Grip Bar Curl On High Pulley|3x15-25|30s|I|RPE7|cable
2.Triceps Overhead Extension with Rope|3x15-25|30s|I|RPE10|cable
3.Cable Seated Lateral Raise|3x15-25|30s|I|RPE10|cable
4.Rope Wave|3x12-20|45s|C|RPE9|body only
5.Low Cable Triceps Extension|3x15-25|30s|I|RPE7|cable
6.In-Out Rope Wave|3x12-20|45s|C|RPE9|body only
---
PROG:Add 1 rep per set each week
DELOAD:Every 5 weeks: half volume"
27,regular,"Build a 3 day muscle routine
[Context] Level: Advanced | Goal: Muscle | Days: 3 | Body fat: 32.8% (obese) | Muscle mass: 19.6kg (low) | Equipment: barbell,machine,other,kettlebells,body only","PLAN:3d Full Body x3|Muscle|Advanced|4w
---
D1:Full Body A[chest,lats,quadriceps,abdominals]70min
1.Pec Deck|3x10-15|60s|I|RPE8|machine
2.Isometric Wipers|3x10-15|60s|I|RPE10|body only
3.Bent-Arm Barbell Pullover|3x10-15|60s|I|RPE10|barbell
4.Towel Pull-Up|3x8-12|90s|C|RPE10|body only
5.Tire Flip|3x8-12|90s|C|RPE10|other
6.Barbell Side Split Squat|3x8-12|90s|C|RPE10|barbell
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]49min
1.Log Lift|3x8-12|90s|C|RPE7|other
2.Barbell Shoulder Press|3x8-12|90s|C|RPE9|barbell
3.Incline Bench Pull|3x10-15|60s|I|RPE8|barbell
4.Meadows Row|3x8-12|90s|C|RPE7|body only
5.Glute Kickback|3x10-15|60s|I|RPE10|body only
6.Standing Glute Kickback – Machine|3x10-15|60s|I|RPE10|machine
---
D3:Full Body C[chest,lats,glutes,triceps]54min
1.Isometric Wipers|3x10-15|60s|I|RPE9|body only
2.Isometric Chest Squeezes|3x10-15|60s|I|RPE7|body only
3.Rear Delt Row – Barbell|3x10-15|60s|I|RPE9|barbell
4.One-Arm Kettlebell Row|3x8-12|90s|C|RPE10|kettlebells
5.Step-up with Knee Raise|3x10-15|60s|I|RPE9|body only
6.Lunge Sprint|3x8-12|90s|C|RPE8|machine
---
PROG:Double progression: reps then weight
DELOAD:Week 4: reduce volume 40%, keep intensity"
28,regular,"Generate a 3-day endurance workout plan
[Context] Level: Intermediate | Goal: Endurance | Days: 3 | Body fat: 24.6% (higher) | Muscle mass: 52.2kg (high) | Equipment: bands,machine,barbell,medicine ball,e-z curl bar,other,body only,cable","PLAN:3d Full Body x3|Endurance|Intermediate|4w
---
D1:Full Body A[chest,lats,quadriceps,abdominals]68min
1.Incline Dumbbell Flyes - With A Twist|2x20-30|20s|I|RPE9|dumbbell
2.Incline Cable Flye|2x20-30|20s|I|RPE8|cable
3.Straight-Arm Pulldown|2x20-30|20s|I|RPE8|cable
4.Bent-Arm Barbell Pullover|2x20-30|20s|I|RPE8|barbell
5.Squat – Dumbbell|3x15-25|30s|C|RPE10|dumbbell
6.Single-Leg Lateral Hop|3x15-25|30s|C|RPE8|other
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]68min
1.Crucifix|2x20-30|20s|I|RPE7|other
2.Seated Cable Shoulder Press|3x15-25|30s|C|RPE10|cable
3.Face Pull|2x20-30|20s|I|RPE8|cable
4.Rear Delt Row – Cable|2x20-30|20s|I|RPE9|cable
5.Glute Kickback – Machine|2x20-30|20s|I|RPE8|machine
6.One-Leg Prone Hip Extension|2x20-30|20s|I|RPE9|body only
---
D3:Full Body C[chest,lats,glutes,triceps]47min
1.Low Cable Crossover|2x20-30|20s|I|RPE8|cable
2.Cable Iron Cross|2x20-30|20s|I|RPE7|cable
3.Bent Over Dumbbell Rear Delt Raise With Head On Bench|2x20-30|20s|I|RPE8|dumbbell
4.Incline Bench Pull|2x20-30|20s|I|RPE7|barbell
5.Step-up with Knee Raise|2x20-30|20s|I|RPE9|body only
6.Elevated Back Lunge|3x15-25|30s|C|RPE10|barbell
---
PROG:Linear periodization: reduce reps weekly
DELOAD:Every 2 weeks: half volume"
29,regular,"Build a 5 day general routine
[Context] Level: Beginner | Goal: General | Days: 5 | Equipment: body only,cable,exercise ball,barbell,e-z curl bar,bands,other,medicine ball","PLAN:5d ULPPL|General|Beginner|8w
---
D1:Upper[chest,lats,triceps,biceps]67min
1.Dip Machine|3x8-15|60s|C|RPE8|machine
2.Forward Drag with Press|3x8-15|60s|C|RPE7|other
3.Underhand Grip Inverted Row|3x8-15|60s|C|RPE6|body only
4.Monkey Row|3x8-15|60s|C|RPE8|body only
5.Skull Crusher – Barbell|3x8-15|60s|C|RPE6|barbell
6.Cable Curl – Bar|3x10-15|60s|I|RPE6|cable
---
D2:Lower[quadriceps,hamstrings,glutes,calves]45min
1.Jerk Dip Squat|3x8-15|60s|C|RPE7|barbell
2.Squat with Plate Movers|3x8-15|60s|C|RPE6|barbell
3.Single-Leg Romanian Deadlift – Landmine|3x8-15|60s|C|RPE7|barbell
4.Smith Machine Hang Power Clean|3x8-15|60s|C|RPE6|machine
5.Lunge Sprint|3x8-15|60s|C|RPE6|machine
6.Step-Up|3x8-15|60s|C|RPE8|body only
---
D3:Push[chest,shoulders,triceps]61min
1.Incline Push-Up Medium|3x8-15|60s|C|RPE8|body only
2.Ring Dips|3x8-15|60s|C|RPE7|other
3.Anti-Gravity Press|3x8-15|60s|C|RPE6|barbell
4.Machine Shoulder (Military) Press|3x8-15|60s|C|RPE6|machine
5.Skull Crusher – Cable with Rope|3x8-15|60s|C|RPE7|cable
6.Barbell Incline Shoulder Raise|3x10-15|60s|I|RPE6|barbell
---
D4:Pull[lats,middle back,biceps]60min
1.Kneeling Single-Arm High Pulley Row|3x8-15|60s|C|RPE8|cable
2.Sled Row|3x8-15|60s|C|RPE7|other
3.Kipping Muscle Up|3x8-15|60s|C|RPE6|other
4.Rocky Pull-Ups/Pulldowns|3x8-15|60s|C|RPE6|cable
5.Concentration Curl|3x10-15|60s|I|RPE7|body only
6.Wide-Grip Rear Pull-Up|3x8-15|60s|C|RPE6|body only
---
D5:Legs[quadriceps,hamstrings,glutes,calves]43min
1.Narrow Stance Hack Squats|3x8-15|60s|C|RPE6|machine
2.Linear Depth Jump|3x8-15|60s|C|RPE8|other
3.Glute Bridge|3x8-15|60s|C|RPE8|body only
4.Good Morning|3x8-15|60s|C|RPE7|barbell
5.Feet-Elevated Bulgarian Row – Ring|3x8-15|60s|C|RPE6|body only
6.Barbell Step Ups|3x8-15|60s|C|RPE7|barbell
---
PROG:Linear periodization: reduce reps weekly
DELOAD:Every 4 weeks: half volume"
30,regular,"Design a 3-day general training split
[Context] Level: Advanced | Goal: General | Days: 3 | Body fat: 17.8% (normal) | Muscle mass: 18.2kg (low) | Feedback: much harder difficulty, rating 3.3, 43 sessions done | Equipment: kettlebells,exercise ball,barbell,e-z curl bar,cable,body only,machine,other","PLAN:3d Full Body x3|General|Advanced|4w
FB:much harder pref,rating 3.3,43 sessions
---
D1:Full Body A[chest,lats,quadriceps,abdominals]55min
1.Clock Push-Up|3x8-15|60s|C|RPE9|body only
2.Incline Push-Up Depth Jump|3x8-15|60s|C|RPE8|other
3.Side To Side Chins|3x8-15|60s|C|RPE8|other
4.Wide-Grip Pulldown Behind The Neck|3x8-15|60s|C|RPE9|cable
5.Box Squat|3x8-15|60s|C|RPE9|barbell
6.Leg Press – Machine|3x8-15|60s|C|RPE7|machine
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]51min
1.One-Arm Kettlebell Push Press|3x8-15|60s|C|RPE10|kettlebells
2.Alternating Cable Shoulder Press|3x8-15|60s|C|RPE10|cable
3.Mixed Grip Chin|3x8-15|60s|C|RPE7|other
4.Sled Row|3x8-15|60s|C|RPE9|other
5.Reverse Hyperextension|3x8-15|60s|C|RPE10|machine
6.Hang Clean|3x8-15|60s|C|RPE9|barbell
---
D3:Full Body C[chest,lats,glutes,triceps]48min
1.Kneeling Incline Push-Up|3x8-15|60s|C|RPE10|body only
2.Plyo Push-up|3x8-15|60s|C|RPE7|body only
3.Meadows Row|3x8-15|60s|C|RPE7|body only
4.Inverted Row|3x8-15|60s|C|RPE10|body only
5.Lunge Pass Through|3x8-15|60s|C|RPE10|kettlebells
6.Barbell Walking Lunge|3x8-15|60s|C|RPE10|barbell
---
PROG:Increase reps before adding weight
DELOAD:Every 2 weeks: half volume"
31,injury,"I have a lower_back injury, create safe plan
[Context] Level: Intermediate | Goal: Endurance | Days: 5 | Injury: lower_back(moderate,6/10) | Body fat: 33.1%(obese) | Equipment: machine,cable,bands,barbell,body only","PLAN:5d Bro Split|Endurance|Intermediate|6w
INJ:lower_back(moderate,6/10):replace free weight hinges with machines
FB:normal pref,rating 4.3,39 sessions
---
D1:Chest[chest,triceps]61min
1.Flat Bench Cable Flyes|2x20-30|20s|I|RPE9|cable
2.One-Handed Standing Chest Fly – Band|2x20-30|20s|I|RPE8|bands
3.Overhead Tricep Extension – Barbell|2x20-30|20s|I|RPE7|barbell
4.Bench Press – Barbell|3x15-25|30s|C|RPE8|barbell
5.Incline Push-Up Close-Grip|3x15-25|30s|C|RPE9|body only
---
D2:Back[lats,middle back,biceps]63min
1.Barbell Rear Delt Row|2x20-30|20s|I|RPE7|barbell
2.Rear Delt Row – Barbell|2x20-30|20s|I|RPE7|barbell
3.Bent-Arm Barbell Pullover|2x20-30|20s|I|RPE9|barbell
4.Straight-Arm Pulldown|2x20-30|20s|I|RPE8|cable
5.Preacher Curl – Barbell|2x20-30|20s|I|RPE8|barbell
6.Close-Grip Front Lat Pulldown|3x15-25|30s|C|RPE8|cable
---
D3:Shoulders[shoulders,abdominals]61min
1.Shoulder Press – Machine|3x15-25|30s|C|RPE7|machine
2.Leverage Shoulder Press|3x15-25|30s|C|RPE7|machine
3.One-Handed Lateral Raise – Cable|2x20-30|20s|I|RPE8|cable
4.Alternate Heel Touchers|2x20-30|20s|I|RPE8|body only
5.Isometric Pull-Up Hold|2x20-30|20s|I|RPE8|body only
6.Rope Crunch|2x20-30|20s|I|RPE7|cable
---
D4:Legs[quadriceps,hamstrings,glutes,calves]64min
1.Barbell Hack Squat|3x15-25|30s|C|RPE10|barbell
2.Jerk Dip Squat|3x15-25|30s|C|RPE9|barbell
3.Step-up with Knee Raise|2x20-30|20s|I|RPE9|body only|*LIGHT
4.Bodyweight Walking Lunge|3x15-25|30s|C|RPE10|body only
5.Standing Barbell Calf Raise|2x20-30|20s|I|RPE8|barbell
6.Narrow Stance Hack Squats|3x15-25|30s|C|RPE9|machine
---
D5:Arms[biceps,triceps,forearms]41min
1.Standing One-Arm Cable Curl|2x20-30|20s|I|RPE8|cable
2.Decline EZ Bar Triceps Extension|2x20-30|20s|I|RPE9|barbell
3.Snatch Shrug|2x20-30|20s|I|RPE8|barbell
4.Lying Close-Grip Bar Curl On High Pulley|2x20-30|20s|I|RPE8|cable
5.Skull Crusher – Cable with Rope|3x15-25|30s|C|RPE8|cable
6.Seated Two-Arm Palms-Up Low-Pulley Wrist Curl|2x20-30|20s|I|RPE9|cable
---
PROG:Increase reps before adding weight
DELOAD:Week 6: reduce volume 40%, keep intensity"
32,regular,"Create a 4-day strength program
[Context] Level: Beginner | Goal: Strength | Days: 4 | Body fat: 26.6% (higher) | Muscle mass: 30.0kg (average) | Equipment: cable,kettlebells,bands,other,body only","PLAN:4d PPLA|Strength|Beginner|10w
---
D1:Push[chest,shoulders,triceps]58min
1.Push-Up Against Wall|4x3-6|180s|C|RPE6|body only
2.Single-Arm Push-Up|4x3-6|180s|C|RPE6|body only
3.Two-Arm Kettlebell Military Press|4x3-6|180s|C|RPE8|kettlebells
4.One-Arm Kettlebell Military Press To The Side|4x3-6|180s|C|RPE8|kettlebells
5.Skull Crusher – Cable with Rope|4x3-6|180s|C|RPE8|cable
6.Dip – Bar|4x3-6|180s|C|RPE7|body only
---
D2:Pull[lats,middle back,biceps]41min
1.Seated Cable Rows|4x3-6|180s|C|RPE6|cable
2.Two-Arm Kettlebell Row|4x3-6|180s|C|RPE6|kettlebells
3.Chin-Up|4x3-6|180s|C|RPE7|body only
4.Straight Arm Lat Pulldown|4x3-6|180s|C|RPE8|cable
5.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE7|kettlebells
6.Shotgun Row|4x3-6|180s|C|RPE6|cable
---
D3:Legs[quadriceps,hamstrings,glutes,calves]63min
1.Rocket Jump|4x3-6|180s|C|RPE7|body only
2.Bulgarian Split Squat|4x3-6|180s|C|RPE8|body only
3.Car Deadlift|4x3-6|180s|C|RPE8|other
4.Pull Through|4x3-6|180s|C|RPE6|cable
5.Feet-Elevated Bulgarian Row – Ring|4x3-6|180s|C|RPE7|body only
6.Lunge – Bodyweight|4x3-6|180s|C|RPE7|body only
---
D4:Arms + Abs[biceps,triceps,shoulders,abdominals]61min
1.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE7|kettlebells
2.Skull Crusher – Cable with Rope|4x3-6|180s|C|RPE6|cable
3.Plate Front Raise|3x6-10|120s|I|RPE6|body only
4.Cross-Body Crunch|4x3-6|180s|C|RPE6|body only
5.Hanging Side-To-Side Knee Drive|4x3-6|180s|C|RPE8|body only
6.Standing Low-Pulley One-Arm Triceps Extension|3x6-10|120s|I|RPE7|cable
---
PROG:Double progression: reps then weight
DELOAD:Every 5 weeks: half volume"
33,regular,"Create a 3-day muscle program
[Context] Level: Beginner | Goal: Muscle | Days: 3 | Equipment: other,e-z curl bar,barbell,bands,body only,machine,kettlebells,cable","PLAN:3d Full Body x3|Muscle|Beginner|8w
---
D1:Full Body A[chest,lats,quadriceps,abdominals]65min
1.Isometric Chest Squeezes|3x10-15|60s|I|RPE6|body only
2.Bent-Arm Dumbbell Pullover|3x10-15|60s|I|RPE8|dumbbell
3.Bent-Arm Barbell Pullover|3x10-15|60s|I|RPE6|barbell
4.Rope Straight-Arm Pulldown|3x10-15|60s|I|RPE7|cable
5.Sled Push|3x8-12|90s|C|RPE6|other
6.Single-Leg High Box Squat|3x8-12|90s|C|RPE8|other
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]54min
1.Crucifix|3x10-15|60s|I|RPE6|other
2.Seated Barbell Military Press|3x8-12|90s|C|RPE7|barbell
3.Bent Over Low-Pulley Side Lateral|3x10-15|60s|I|RPE7|cable
4.Rear Delt Row – Cable|3x10-15|60s|I|RPE8|cable
5.Butt Lift (Bridge)|3x10-15|60s|I|RPE6|body only
6.One-Leg Prone Hip Extension|3x10-15|60s|I|RPE8|body only
---
D3:Full Body C[chest,lats,glutes,triceps]70min
1.Isometric Chest Squeezes|3x10-15|60s|I|RPE7|body only
2.Bodyweight Flyes|3x10-15|60s|I|RPE6|e-z curl bar
3.Face Pull|3x10-15|60s|I|RPE7|cable
4.Bent Over Dumbbell Rear Delt Raise With Head On Bench|3x10-15|60s|I|RPE8|dumbbell
5.Single-Arm Front Rack Contralateral Walking Lunge – Kettlebell|3x8-12|90s|C|RPE6|kettlebells
6.Lunge – Barbell|3x8-12|90s|C|RPE6|barbell
---
PROG:Add 2.5-5% weight when hitting top reps
DELOAD:Every 4 weeks: half volume"
34,regular,"Plan a 3 day endurance workout routine
[Context] Level: Advanced | Goal: Endurance | Days: 3 | Body fat: 38.0% (obese) | Muscle mass: 54.3kg (high) | Equipment: cable,exercise ball,bands,barbell,machine,other,medicine ball,kettlebells","PLAN:3d Full Body x3|Endurance|Advanced|8w
---
D1:Full Body A[chest,lats,quadriceps,abdominals]70min
1.Incline Dumbbell Flyes - With A Twist|2x20-30|20s|I|RPE7|dumbbell
2.Cable Iron Cross|2x20-30|20s|I|RPE7|cable
3.Isometric Pull-Up Hold|2x20-30|20s|I|RPE7|body only
4.Bent-Arm Barbell Pullover|2x20-30|20s|I|RPE8|barbell
5.Hack Squat – Landmine|3x15-25|30s|C|RPE8|barbell
6.Rocket Jump|3x15-25|30s|C|RPE8|body only
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]46min
1.Crucifix|2x20-30|20s|I|RPE8|other
2.Seated Cable Shoulder Press|3x15-25|30s|C|RPE8|cable
3.Rear Delt Row – Cable|2x20-30|20s|I|RPE7|cable
4.Bent Over Dumbbell Rear Delt Raise With Head On Bench|2x20-30|20s|I|RPE8|dumbbell
5.Back Extension|2x20-30|20s|I|RPE9|body only
6.Downward Facing Balance|2x20-30|20s|I|RPE8|exercise ball
---
D3:Full Body C[chest,lats,glutes,triceps]54min
1.Bodyweight Flyes|2x20-30|20s|I|RPE7|e-z curl bar
2.Incline Dumbbell Flyes|2x20-30|20s|I|RPE10|dumbbell
3.Barbell Rear Delt Row|2x20-30|20s|I|RPE9|barbell
4.Incline Bench Pull|2x20-30|20s|I|RPE7|barbell
5.Step-up with Knee Raise|2x20-30|20s|I|RPE10|body only
6.Single-Arm Front Rack Contralateral Walking Lunge – Kettlebell|3x15-25|30s|C|RPE10|kettlebells
---
PROG:Add 1 rep per set each week
DELOAD:Every 4 weeks: half volume"
35,regular,"Plan a 5 day muscle workout routine
[Context] Level: Intermediate | Goal: Muscle | Days: 5 | Feedback: normal difficulty, rating 3.9, 36 sessions done | Equipment: exercise ball,barbell,kettlebells,body only","PLAN:5d ULPPL|Muscle|Intermediate|6w
FB:normal pref,rating 3.9,36 sessions
---
D1:Upper[chest,lats,triceps,biceps]61min
1.Isometric Chest Squeezes|3x10-15|60s|I|RPE7|body only
2.Isometric Wipers|3x10-15|60s|I|RPE7|body only
3.Barbell Rear Delt Row|3x10-15|60s|I|RPE8|barbell
4.Rear Delt Row – Barbell|3x10-15|60s|I|RPE10|barbell
5.Lying Close-Grip Barbell Triceps Extension Behind The Head|3x10-15|60s|I|RPE10|barbell
6.Preacher Curl – Barbell|3x10-15|60s|I|RPE9|barbell
---
D2:Lower[quadriceps,hamstrings,glutes,calves]55min
1.Barbell Squat To A Bench|3x8-12|90s|C|RPE9|barbell
2.Squat with Chains|3x8-12|90s|C|RPE7|barbell
3.Floor Back Extension|3x10-15|60s|I|RPE8|body only
4.Glute Kickback|3x10-15|60s|I|RPE8|body only
5.Lunge – Barbell|3x8-12|90s|C|RPE10|barbell
6.Lunge Pass Through|3x8-12|90s|C|RPE10|kettlebells
---
D3:Push[chest,shoulders,triceps]55min
1.Isometric Wipers|3x10-15|60s|I|RPE7|body only
2.Eccentric Chest Press|3x8-12|90s|C|RPE9|body only
3.Push Press|3x8-12|90s|C|RPE9|barbell
4.Kettlebell Arnold Press|3x8-12|90s|C|RPE9|kettlebells
5.Overhead Tricep Extension – Barbell|3x10-15|60s|I|RPE10|barbell
6.Straight Raises on Incline Bench|3x10-15|60s|I|RPE7|barbell
---
D4:Pull[lats,middle back,biceps]57min
1.Barbell Rear Delt Row|3x10-15|60s|I|RPE10|barbell
2.Incline Bench Pull|3x10-15|60s|I|RPE9|barbell
3.Bent-Arm Barbell Pullover|3x10-15|60s|I|RPE7|barbell
4.Pull-Up|3x8-12|90s|C|RPE8|body only
5.Concentration Curl|3x10-15|60s|I|RPE7|body only
6.V-Bar Pullup|3x8-12|90s|C|RPE9|body only
---
D5:Legs[quadriceps,hamstrings,glutes,calves]41min
1.Front Barbell Squat To A Bench|3x8-12|90s|C|RPE7|barbell
2.Barbell Hack Squat|3x8-12|90s|C|RPE10|barbell
3.Downward Facing Balance|3x10-15|60s|I|RPE8|exercise ball
4.Quadruped Hip Extension|3x10-15|60s|I|RPE8|body only
5.Lunge Pass Through|3x8-12|90s|C|RPE9|kettlebells
6.Step-Up|3x8-12|90s|C|RPE9|body only
---
PROG:Add 1 rep per set each week
DELOAD:Week 6: reduce volume 40%, keep intensity"
36,regular,"Generate a 3-day muscle workout plan
[Context] Level: Beginner | Goal: Muscle | Days: 3 | Body fat: 7.9% (lean) | Muscle mass: 50.1kg (high) | Injuries: knee(severe,8/10) | Equipment: exercise ball,e-z curl bar,dumbbell,barbell,medicine ball,body only","PLAN:3d Full Body x3|Muscle|Beginner|6w
INJ:knee(severe,8/10):skip all knee-flexion and leg exercises
---
D1:Full Body A[chest,lats,quadriceps,abdominals]42min
1.Decline Dumbbell Flyes|3x10-15|60s|I|RPE8|dumbbell
2.Incline Dumbbell Flyes|3x10-15|60s|I|RPE8|dumbbell
3.Bent-Arm Barbell Pullover|3x10-15|60s|I|RPE7|barbell
4.Isometric Pull-Up Hold|3x10-15|60s|I|RPE6|body only
5.Seated Barbell Twist|3x10-15|60s|I|RPE7|barbell
6.Chest Push with Run Release|3x8-12|90s|C|RPE7|medicine ball
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]67min
1.Cuban Press|3x8-12|90s|C|RPE8|dumbbell
2.Single-Arm Linear Jammer|3x8-12|90s|C|RPE7|barbell
3.Bent Over Dumbbell Rear Delt Raise With Head On Bench|3x10-15|60s|I|RPE6|dumbbell
4.Rear Delt Row – Dumbbell|3x10-15|60s|I|RPE7|dumbbell
5.One-Leg Prone Hip Extension|3x10-15|60s|I|RPE8|body only|*MODIFIED
6.Floor Back Extension|3x10-15|60s|I|RPE8|body only
---
D3:Full Body C[chest,lats,glutes,triceps]56min
1.Dumbbell Flyes|3x10-15|60s|I|RPE8|dumbbell
2.Incline Dumbbell Flyes - With A Twist|3x10-15|60s|I|RPE8|dumbbell
3.Rear Delt Row – Dumbbell|3x10-15|60s|I|RPE7|dumbbell
4.Barbell Rear Delt Row|3x10-15|60s|I|RPE7|barbell
5.Decline Dumbbell Triceps Extension|3x10-15|60s|I|RPE8|dumbbell
6.Hammer Grip Incline DB Bench Press|3x8-12|90s|C|RPE8|dumbbell
---
PROG:Double progression: reps then weight
DELOAD:Week 6: active recovery only"
37,regular,"Plan a 3 day strength workout routine
[Context] Level: Intermediate | Goal: Strength | Days: 3 | Equipment: dumbbell,bands,exercise ball,medicine ball,kettlebells,e-z curl bar,other,cable","PLAN:3d Full Body x3|Strength|Intermediate|4w
---
D1:Full Body A[chest,lats,quadriceps,abdominals]46min
1.One Arm Floor Press|4x3-6|180s|C|RPE8|barbell
2.Drop Push|4x3-6|180s|C|RPE8|other
3.Scapular Pull-Up|4x3-6|180s|C|RPE8|body only
4.Wide-Grip Rear Pull-Up|4x3-6|180s|C|RPE8|body only
5.Half Air Squat|4x3-6|180s|C|RPE7|body only
6.Jefferson Squats|4x3-6|180s|C|RPE9|barbell
---
D2:Full Body B[shoulders,middle back,hamstrings,biceps]70min
1.Standing Dumbbell Press|4x3-6|180s|C|RPE8|dumbbell
2.Shoulder Press – Barbell|4x3-6|180s|C|RPE7|barbell
3.Inverted Row with Straps|4x3-6|180s|C|RPE7|other
4.Inverted Row|4x3-6|180s|C|RPE8|body only
5.Hang Snatch - Below Knees|4x3-6|180s|C|RPE10|barbell
6.Hip Hinge – Band|4x3-6|180s|C|RPE8|bands
---
D3:Full Body C[chest,lats,glutes,triceps]68min
1.Wide-Grip Barbell Bench Press|4x3-6|180s|C|RPE7|barbell
2.Cable Chest Press|4x3-6|180s|C|RPE9|cable
3.Bent Over One-Arm Long Bar Row|4x3-6|180s|C|RPE10|barbell
4.Pendlay Row|4x3-6|180s|C|RPE8|barbell
5.Barbell Lunge|4x3-6|180s|C|RPE10|barbell
6.Lunge – Dumbbell|4x3-6|180s|C|RPE7|dumbbell
---
PROG:Add 2.5-5% weight when hitting top reps
DELOAD:Week 4: reduce volume 40%, keep intensity"
