Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Lentil Soup Mexican Style (Standard portion),Meal/Legume,239,15,31.8,2.8,6.9,10.5,544,0,Lunch,500,gluten-free,Summer,Roasted,Standard
Avocado Toast Light (Small portion),Meal/Vegetarian,189,5,20.6,9.5,4.6,8,396,0,Breakfast,250,"vegetarian,gluten-free",All Year,Baked,Small
Protein Shake Asian Style (Large portion),Supplement,147,29,4.2,1.3,1,1.3,70,0,Breakfast,400,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Large
Protein Shake with Cheese (Standard portion),Supplement,110,25.4,3.2,1,0.9,1.3,95,0,Breakfast,400,"high-protein,low-carb,gluten-free",Spring,Raw,Standard
Cottage Cheese Italian Style (Extra Large portion),Dairy,147,20,7.2,4.5,1.1,1.6,253,173,Snack,200,"low-carb,gluten-free",Winter,Raw,Extra Large
Spaghetti Bolognese Italian Style (Standard portion),Meal/Pasta,474,21.5,51.1,16.9,14.9,10.9,499,0,Dinner,250,"high-protein,gluten-free",Winter,Steamed,Standard
Protein Bar Extra Protein (Extra Large portion),Supplement/Processed,355,33.3,33,10.6,4,15.9,849,0,Snack,200,"high-protein,gluten-free",Winter,Roasted,Extra Large
Turkey Sandwich with Vegetables (Standard portion),Meal/Processed,350,20.8,37.4,11,4,11.6,468,81,Lunch,350,"high-protein,gluten-free",All Year,Roasted,Standard
Lentil Soup Spicy (Small portion),Meal/Legume,156,10.2,23.5,2.1,5.5,5.9,792,0,Lunch,250,gluten-free,Winter,Raw,Small
Turkey Sandwich High-Fiber (Large portion),Meal/Processed,459,30.3,48.4,16.4,5.2,23.6,874,22,Lunch,500,"high-protein,gluten-free",Fall,Raw,Large
Chicken Breast Spicy (Extra Large portion),Protein/Meat,277,50.5,0,6.4,0,0,244,199,Dinner,400,"high-protein,low-carb,gluten-free",Fall,Steamed,Extra Large
Avocado Toast Spicy (Extra Large portion),Meal/Vegetarian,455,11.6,42.4,21.7,9,11.6,401,0,Breakfast,300,"vegetarian,gluten-free",Fall,Pan-fried,Extra Large
Chicken Breast Extra Protein (Standard portion),Protein/Meat,178,35.9,0,4.1,0,0,36,30,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Standard
Whole Wheat Toast Mediterranean Style (Extra Large portion),Grain,136,6.6,22.9,1.5,4.2,8.9,228,0,Breakfast,350,gluten-free,Summer,Baked,Extra Large
Tuna Salad with Cheese (Small portion),Meal/Fish,128,12.8,1.4,8.4,0.3,0.5,657,158,Lunch,250,"low-carb,gluten-free",Summer,Steamed,Small
Oatmeal Light (Small portion),Grain,55,2.1,10.1,1.1,1.9,4,199,0,Breakfast,300,gluten-free,Fall,Raw,Small
Avocado Toast with Avocado (Standard portion),Meal/Vegetarian,276,7.5,29,14.2,6.2,8.6,550,0,Breakfast,500,"vegetarian,gluten-free",All Year,Raw,Standard
Almonds Italian Style (Small portion),Nut,105,4.3,4.3,10.1,0.7,1.3,230,0,Snack,150,"low-carb,gluten-free",All Year,Raw,Small
Greek Yogurt Italian Style (Small portion),Dairy,55,9,2.6,1,0.7,0.7,69,28,Breakfast,400,"low-carb,gluten-free",Fall,Raw,Small
Hummus Spicy (Large portion),Legume,93,2.4,5.1,7.1,1.3,1.1,88,0,Snack,0,"low-carb,gluten-free",Summer,Grilled,Large
Lentil Soup Low-Carb (Extra Large portion),Meal/Legume,369,22,52.9,5.2,6.5,24.7,704,0,Lunch,350,"high-protein,gluten-free",Summer,Pan-fried,Extra Large
Vegetable Curry Mexican Style (Large portion),Meal/Vegetable,413,13.8,53.2,17.7,14.8,23.9,273,0,Dinner,350,gluten-free,Summer,Raw,Large
Oatmeal (Large portion),Grain,100,3.7,17.3,2.1,2.5,5,151,0,Breakfast,300,gluten-free,All Year,Raw,Large
Whole Wheat Toast Asian Style (Small portion),Grain,56,2.8,8.9,0.8,1.3,3.7,75,0,Breakfast,400,"low-carb,gluten-free",Winter,Grilled,Small
Apple Italian Style (Large portion),Fruit,135,0.6,30.3,0.4,8.7,7.2,54,0,Snack,100,gluten-free,Winter,Boiled,Large
Quinoa Bowl Spicy (Extra Large portion),Meal/Grain,588,26,81.9,19.4,21.9,17.3,635,0,Lunch,300,"high-protein,gluten-free",Spring,Boiled,Extra Large
Banana Asian Style (Standard portion),Fruit,107,1.2,25.3,0.4,6.7,11.2,82,0,Breakfast,350,gluten-free,Spring,Baked,Standard
Turkey Sandwich with Vegetables (Standard portion),Meal/Processed,324,22.4,34,12.5,8.4,11.9,326,22,Lunch,250,"high-protein,gluten-free",Fall,Roasted,Standard
Chicken Breast Extra Protein (Extra Large portion),Protein/Meat,319,58.3,0,6.5,0,0,67,88,Dinner,400,"high-protein,low-carb,gluten-free",Fall,Raw,Extra Large
Whole Wheat Toast with Cheese (Large portion),Grain,97,5.1,17.2,1.2,2.3,4.7,162,0,Breakfast,300,gluten-free,Spring,Steamed,Large
Scrambled Eggs Mexican Style (Small portion),Protein/Dairy,60,4.1,0.6,4.6,0.1,0.2,32,46,Breakfast,300,"low-carb,gluten-free",Winter,Steamed,Small
Protein Bar High-Fiber (Large portion),Supplement/Processed,251,27.7,26.8,8.3,4.1,7.3,975,0,Snack,0,"high-protein,gluten-free",Fall,Steamed,Large
Avocado Toast with Avocado (Large portion),Meal/Vegetarian,365,8.4,39.1,20.9,4.3,8.9,790,0,Breakfast,500,"vegetarian,gluten-free",Summer,Raw,Large
Stir Fry Tofu Extra Protein (Extra Large portion),Meal/Vegetarian,684,31.6,46.4,37.9,8.5,18.3,482,0,Dinner,350,"high-protein,vegetarian,vegan",All Year,Roasted,Extra Large
Stir Fry Tofu Asian Style (Extra Large portion),Meal/Vegetarian,622,31.3,46.9,35.4,10.3,11.7,603,0,Dinner,500,"high-protein,vegetarian,vegan",Winter,Baked,Extra Large
Cottage Cheese with Avocado (Extra Large portion),Dairy,148,20,8.3,4.7,1.3,3.1,96,179,Snack,200,"low-carb,gluten-free",Fall,Boiled,Extra Large
Banana Italian Style (Large portion),Fruit,139,1.8,34.8,0.5,5.1,14.9,55,0,Breakfast,300,gluten-free,Spring,Steamed,Large
Stir Fry Tofu High-Fiber (Standard portion),Meal/Vegetarian,392,19.2,31.9,23.2,7.2,9.1,226,0,Dinner,500,"vegetarian,vegan,gluten-free",Spring,Steamed,Standard
Spaghetti Bolognese Light (Extra Large portion),Meal/Pasta,763,33.8,92.8,27.7,10,36.6,623,0,Dinner,250,"high-protein,gluten-free",All Year,Roasted,Extra Large
Hummus Mediterranean Style (Extra Large portion),Legume,114,2.9,6.4,8.2,1,2,93,0,Snack,250,"low-carb,gluten-free",Fall,Raw,Extra Large
Cottage Cheese Mexican Style (Large portion),Dairy,115,16.9,7,4.2,1.3,2.6,277,76,Snack,250,"low-carb,gluten-free",Summer,Pan-fried,Large
Turkey Sandwich Low-Carb (Standard portion),Meal/Processed,341,20.7,36.8,13,5.9,12,1061,52,Lunch,300,"high-protein,gluten-free",All Year,Boiled,Standard
Chicken Breast Low-Carb (Large portion),Protein/Meat,230,49.3,0,5.7,0,0,48,123,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Baked,Large
Stir Fry Tofu with Cheese (Standard portion),Meal/Vegetarian,372,17.2,27.4,23.7,4.1,12,800,0,Dinner,350,"vegetarian,vegan,gluten-free",Spring,Pan-fried,Standard
Whole Wheat Toast (Extra Large portion),Grain,118,6.3,22.3,1.6,5.1,11,158,0,Breakfast,500,gluten-free,All Year,Baked,Extra Large
Quinoa Bowl with Avocado (Standard portion),Meal/Grain,385,16.1,53.2,11.7,13.4,20.7,737,0,Lunch,400,gluten-free,Winter,Raw,Standard
Turkey Sandwich Light (Small portion),Meal/Processed,218,16.9,26.2,8,4.1,10.3,470,56,Lunch,350,gluten-free,Fall,Steamed,Small
Hummus Light (Large portion),Legume,89,2.5,4.9,6.8,1.2,2,278,0,Snack,0,"low-carb,gluten-free",All Year,Pan-fried,Large
Protein Bar Extra Protein (Extra Large portion),Supplement/Processed,366,31.2,35.6,11.7,5.1,16.3,690,0,Snack,0,"high-protein,gluten-free",Fall,Boiled,Extra Large
Vegetable Curry Mexican Style (Standard portion),Meal/Vegetable,332,10.1,42.9,14.9,10.6,15.2,725,0,Dinner,250,gluten-free,Spring,Roasted,Standard
Oatmeal Extra Protein (Small portion),Grain,54,2,8.9,1,1.5,3.3,60,0,Breakfast,250,"low-carb,gluten-free",Summer,Raw,Small
Protein Bar (Large portion),Supplement/Processed,296,24.5,26.5,8.7,3.9,13.1,834,0,Snack,200,"high-protein,gluten-free",Spring,Steamed,Large
Spaghetti Bolognese with Avocado (Extra Large portion),Meal/Pasta,771,31.8,89.6,27.1,26.1,36,668,0,Dinner,350,"high-protein,gluten-free",Winter,Steamed,Extra Large
Salmon Asian Style (Small portion),Protein/Fish,175,19.1,0,10.1,0,0,58,43,Dinner,350,"low-carb,gluten-free",Fall,Raw,Small
Spaghetti Bolognese Asian Style (Large portion),Meal/Pasta,582,27.4,71.9,23,17.7,15,238,0,Dinner,250,"high-protein,gluten-free",Spring,Pan-fried,Large
Stir Fry Tofu Mediterranean Style (Large portion),Meal/Vegetarian,499,24.6,40.1,31.5,5.1,15,423,0,Dinner,250,"high-protein,vegetarian,vegan",Summer,Baked,Large
Quinoa Bowl with Avocado (Extra Large portion),Meal/Grain,608,22.4,90.6,18,17.3,39.2,555,0,Lunch,500,"high-protein,gluten-free",Spring,Roasted,Extra Large
Banana Italian Style (Small portion),Fruit,71,0.9,17.1,0.3,4,8.5,257,0,Breakfast,300,gluten-free,Summer,Grilled,Small
Grilled Chicken Salad with Cheese (Standard portion),Meal/Protein,345,29.7,9.7,18.9,2.8,4.6,639,73,Lunch,500,"high-protein,low-carb,gluten-free",Summer,Boiled,Standard
Almonds with Vegetables (Extra Large portion),Nut,288,8.9,10.1,22.8,2,3.1,85,0,Snack,0,gluten-free,All Year,Raw,Extra Large
Salmon Extra Protein (Small portion),Protein/Fish,159,16.6,0,9.8,0,0,22,38,Dinner,300,"low-carb,gluten-free",Spring,Steamed,Small
Protein Shake Light (Small portion),Supplement,80,18,2,0.7,0.4,0.6,258,0,Breakfast,500,"low-carb,gluten-free",Fall,Boiled,Small
Quinoa Bowl High-Fiber (Small portion),Meal/Grain,288,11.5,36.8,8.1,4.1,12.4,483,0,Lunch,250,gluten-free,Winter,Roasted,Small
Cottage Cheese Mexican Style (Small portion),Dairy,67,8.8,3.3,2,1,0.8,239,154,Snack,100,"low-carb,gluten-free",All Year,Raw,Small
Hummus Asian Style (Standard portion),Legume,63,2.2,4.3,5.2,1.2,1,134,0,Snack,150,"low-carb,gluten-free",Spring,Raw,Standard
Avocado Toast Low-Carb (Small portion),Meal/Vegetarian,166,4.9,17.7,11,2.2,6.7,542,0,Breakfast,350,"vegetarian,gluten-free",Spring,Pan-fried,Small
Whole Wheat Toast Low-Carb (Extra Large portion),Grain,124,6.4,22.4,1.7,6.1,7.1,223,0,Breakfast,300,gluten-free,Summer,Steamed,Extra Large
Scrambled Eggs Low-Carb (Large portion),Protein/Dairy,111,7,1.4,9.5,0.4,0.4,97,160,Breakfast,500,"low-carb,gluten-free",Winter,Steamed,Large
Greek Yogurt Extra Protein (Large portion),Dairy,98,17,5.6,1.9,1,2.3,88,150,Breakfast,400,"low-carb,gluten-free",All Year,Grilled,Large
Hummus Spicy (Standard portion),Legume,65,1.9,4.2,5.2,1.1,1.2,150,0,Snack,0,"low-carb,gluten-free",Summer,Steamed,Standard
Vegetable Curry with Cheese (Small portion),Meal/Vegetable,230,7.2,30.8,9.6,8.2,12.5,444,0,Dinner,500,gluten-free,Fall,Roasted,Small
Oatmeal Extra Protein (Standard portion),Grain,84,3.1,15.1,1.6,3.7,3.6,258,0,Breakfast,500,gluten-free,Winter,Baked,Standard
Beef Steak with Cheese (Small portion),Protein/Meat,191,26.7,0,6.8,0,0,4,100,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Roasted,Small
Apple Mediterranean Style (Extra Large portion),Fruit,137,0.8,38.6,0.5,9.5,10.9,290,0,Snack,0,gluten-free,Summer,Baked,Extra Large
Avocado Toast (Standard portion),Meal/Vegetarian,254,7.5,29.5,16.3,6.6,12.7,706,0,Breakfast,350,"vegetarian,gluten-free",Winter,Raw,Standard
Salmon Low-Carb (Large portion),Protein/Fish,295,29.5,0,18.3,0,0,247,145,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Baked,Large
Avocado Toast Light (Extra Large portion),Meal/Vegetarian,445,10.8,47.5,24.9,5.4,20.6,613,0,Breakfast,300,"vegetarian,gluten-free",Fall,Roasted,Extra Large
Cottage Cheese with Cheese (Large portion),Dairy,119,16.5,6.6,4,0.8,2.8,243,34,Snack,150,"low-carb,gluten-free",Summer,Pan-fried,Large
Avocado Toast Mediterranean Style (Extra Large portion),Meal/Vegetarian,376,11.5,40.6,23,8.5,9.5,413,0,Breakfast,500,"vegetarian,gluten-free",All Year,Steamed,Extra Large
Grilled Chicken Salad Mediterranean Style (Small portion),Meal/Protein,252,20,7.3,14.7,1.5,1.9,587,43,Lunch,500,"low-carb,gluten-free",Fall,Roasted,Small
Veggie Burger Italian Style (Small portion),Protein/Vegetarian,83,7.4,6.9,2.7,1.8,2.2,185,0,Lunch,350,"low-carb,vegetarian,vegan",Fall,Baked,Small
Vegetable Curry High-Fiber (Large portion),Meal/Vegetable,453,13.9,51.7,20.3,15.3,16.8,281,0,Dinner,400,gluten-free,Spring,Grilled,Large
Spaghetti Bolognese Mediterranean Style (Standard portion),Meal/Pasta,494,18.6,60.2,19.8,14.7,19.3,647,0,Dinner,300,gluten-free,Spring,Roasted,Standard
Quinoa Bowl with Avocado (Small portion),Meal/Grain,293,10.3,35.6,8.6,3.9,7.3,203,0,Lunch,350,gluten-free,All Year,Baked,Small
Tuna Salad Spicy (Standard portion),Meal/Fish,192,19.6,2,12.4,0.5,0.6,465,185,Lunch,500,"low-carb,gluten-free",All Year,Boiled,Standard
Turkey Sandwich with Vegetables (Large portion),Meal/Processed,465,26.1,46.7,16.6,13.9,22.6,857,38,Lunch,500,"high-protein,gluten-free",Summer,Roasted,Large
Beef Steak (Extra Large portion),Protein/Meat,447,67.9,0,17.5,0,0,158,155,Dinner,300,"high-protein,low-carb,gluten-free",Summer,Roasted,Extra Large
Oatmeal Spicy (Small portion),Grain,61,2.2,9.9,1.1,1.6,3.1,228,0,Breakfast,400,"low-carb,gluten-free",Winter,Grilled,Small
Chicken Breast Mediterranean Style (Large portion),Protein/Meat,249,41.4,0,4.9,0,0,285,156,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Raw,Large
Quinoa Bowl Asian Style (Large portion),Meal/Grain,484,20.4,68.7,16.6,14.6,29,717,0,Lunch,250,"high-protein,gluten-free",All Year,Grilled,Large
Banana Spicy (Small portion),Fruit,77,0.8,17.1,0.3,3.8,5.9,225,0,Breakfast,400,gluten-free,Fall,Pan-fried,Small
Scrambled Eggs Light (Standard portion),Protein/Dairy,90,5.6,0.9,6.7,0.1,0.3,174,180,Breakfast,350,"low-carb,gluten-free",Summer,Steamed,Standard
Turkey Sandwich with Avocado (Extra Large portion),Meal/Processed,536,38.5,58.3,18.1,13.2,13.6,1183,168,Lunch,500,"high-protein,gluten-free",All Year,Boiled,Extra Large
Lentil Soup Extra Protein (Small portion),Meal/Legume,174,10.6,26.1,2.3,4,8.4,534,0,Lunch,300,gluten-free,Spring,Baked,Small
Tuna Salad Light (Large portion),Meal/Fish,237,26.3,2.6,14.8,0.3,1.2,783,130,Lunch,350,"high-protein,low-carb,gluten-free",Fall,Steamed,Large
Grilled Chicken Salad (Large portion),Meal/Protein,491,41,13.5,28,2.1,5.5,541,130,Lunch,300,"high-protein,gluten-free",Fall,Pan-fried,Large
Grilled Chicken Salad Light (Large portion),Meal/Protein,412,36.5,11.8,24.8,2.5,4.4,325,180,Lunch,400,"high-protein,gluten-free",All Year,Grilled,Large
Scrambled Eggs Mediterranean Style (Standard portion),Protein/Dairy,81,6.1,1,6.5,0.3,0.4,144,37,Breakfast,500,"low-carb,gluten-free",Summer,Grilled,Standard
Salmon Italian Style (Large portion),Protein/Fish,325,29.8,0,19.1,0,0,104,187,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Baked,Large
Beef Steak Light (Large portion),Protein/Meat,380,51.3,0,12.1,0,0,95,30,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Steamed,Large
Beef Steak Italian Style (Standard portion),Protein/Meat,285,37.8,0,9.4,0,0,202,188,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Raw,Standard
Avocado Toast High-Fiber (Small portion),Meal/Vegetarian,186,4.4,19.6,11.4,5.5,4.9,201,0,Breakfast,400,"vegetarian,gluten-free",Summer,Steamed,Small
Veggie Burger Mexican Style (Small portion),Protein/Vegetarian,79,7.8,6.8,2.6,0.8,2.3,125,0,Lunch,300,"low-carb,vegetarian,vegan",Fall,Baked,Small
Greek Yogurt (Standard portion),Dairy,79,12.2,3.7,1.6,0.8,1.6,31,145,Breakfast,350,"low-carb,gluten-free",Fall,Grilled,Standard
Veggie Burger (Large portion),Protein/Vegetarian,161,15.2,13.6,5.3,2.1,5.5,18,0,Lunch,350,"vegetarian,vegan,gluten-free",Summer,Grilled,Large
Tuna Salad Italian Style (Extra Large portion),Meal/Fish,311,28.5,3.5,20.7,1,1.1,243,198,Lunch,350,"high-protein,low-carb,gluten-free",Winter,Boiled,Extra Large
Vegetable Curry with Avocado (Extra Large portion),Meal/Vegetable,510,17.2,68.5,23.1,19,19.4,445,0,Dinner,300,gluten-free,Summer,Raw,Extra Large
Oatmeal (Extra Large portion),Grain,118,4.6,23.5,2.4,7,7.3,165,0,Breakfast,300,gluten-free,Fall,Baked,Extra Large
Stir Fry Tofu Asian Style (Small portion),Meal/Vegetarian,286,13.7,22.8,15.8,3.6,5.9,753,0,Dinner,500,"vegetarian,vegan,gluten-free",Spring,Roasted,Small
Hummus with Vegetables (Standard portion),Legume,70,2,4.1,4.8,1.1,2,45,0,Snack,150,"low-carb,gluten-free",Fall,Steamed,Standard
Cottage Cheese Mexican Style (Small portion),Dairy,57,8.8,3.6,2.1,0.8,1.1,295,85,Snack,250,"low-carb,gluten-free",Summer,Steamed,Small
Protein Shake Asian Style (Standard portion),Supplement,117,25.4,3.2,0.9,0.5,1.5,123,0,Breakfast,500,"high-protein,low-carb,gluten-free",Summer,Boiled,Standard
Protein Bar Spicy (Extra Large portion),Supplement/Processed,304,34.8,35.4,11.2,9.3,9.8,353,0,Snack,200,"high-protein,gluten-free",Fall,Pan-fried,Extra Large
Cottage Cheese Extra Protein (Extra Large portion),Dairy,149,20.2,7.9,5.2,1.1,2.5,273,124,Snack,100,"high-protein,low-carb,gluten-free",Winter,Roasted,Extra Large
Veggie Burger with Cheese (Standard portion),Protein/Vegetarian,115,11.3,9.2,4.2,1.6,2.4,271,0,Lunch,350,"low-carb,vegetarian,vegan",Summer,Raw,Standard
Veggie Burger with Cheese (Extra Large portion),Protein/Vegetarian,209,17.8,17.2,6,2.7,4.6,213,0,Lunch,300,"vegetarian,vegan,gluten-free",Fall,Pan-fried,Extra Large
Avocado Toast Mexican Style (Small portion),Meal/Vegetarian,195,4.8,21.3,9.8,2.5,5.7,361,0,Breakfast,250,"vegetarian,gluten-free",Fall,Roasted,Small
Protein Bar with Avocado (Large portion),Supplement/Processed,278,27.3,29.8,9.5,3.4,11.4,305,0,Snack,150,"high-protein,gluten-free",Spring,Pan-fried,Large
Cottage Cheese Extra Protein (Small portion),Dairy,59,7.7,3.4,2.3,0.6,0.7,227,77,Snack,0,"low-carb,gluten-free",Spring,Boiled,Small
Cottage Cheese with Avocado (Extra Large portion),Dairy,130,18.6,7.7,4.3,1.5,1.8,33,177,Snack,200,"low-carb,gluten-free",All Year,Grilled,Extra Large
Hummus Mediterranean Style (Extra Large portion),Legume,109,2.9,6.6,7.4,1.6,2.1,193,0,Snack,200,"low-carb,gluten-free",Fall,Roasted,Extra Large
